pub,theme_id,theme_name
US10946165B2,C17,神经反馈刺激分析
US9409030B2,C2,柔性电极采集装置
US20190091470A1,C15,心理生理反馈调节
CN107995874A,C4,神经刺激调控系统
CN113101517B,C35,神经刺激参数优化
WO2013011474A2,C26,神经刺激电极装置
US2018070847A1,C8,神经刺激监测装置
US2021031043A1,C17,神经反馈刺激分析
US9248280B2,C29,深部脑刺激调控
JP2024508562A,C29,深部脑刺激调控
US20110009922A1,C37,神经调节刺激控制
US2018132747A1,C17,神经反馈刺激分析
CN110381814A,C18,神经刺激同步递送
CN114515381A,C29,深部脑刺激调控
US8706241B2,C4,神经刺激调控系统
US11752342B2,C37,神经调节刺激控制
US20160008620A1,C18,神经刺激同步递送
CN112006685A,C43,癫痫监测预测干预
US20180117331A1,C43,癫痫监测预测干预
US6161045A,C35,神经刺激参数优化
WO2013117655A1,C4,神经刺激调控系统
US20140277258A,C6,电极阵列植入制造
US20130085361A,C26,神经刺激电极装置
US8774937B2,C6,电极阵列植入制造
WO2013117656A2,C18,神经刺激同步递送
US63564204P0,C6,电极阵列植入制造
US2015223718A1,C29,深部脑刺激调控
WO2025224540A1,C36,自适应神经刺激调控
US2016287126A1,C29,深部脑刺激调控
CN114849059B,C26,神经刺激电极装置
CN114849059A,C26,神经刺激电极装置
WO2016196790A1,C14,脑电信号采集处理
US9192767B2,C26,神经刺激电极装置
US8738154B2,C26,神经刺激电极装置
US6539263B1,C4,神经刺激调控系统
US20120277834A1,C26,神经刺激电极装置
US20110301665A1,C26,神经刺激电极装置
US12285613B2,C8,神经刺激监测装置
US8788064B2,C6,电极阵列植入制造
US11167134B2,C8,神经刺激监测装置
US20120310298A1,C37,神经调节刺激控制
US20060173510A1,C37,神经调节刺激控制
CN115485848A,C26,神经刺激电极装置
US11771898B2,C35,神经刺激参数优化
CA2428116C,C35,神经刺激参数优化
JP2020500567A,C11,睡眠脑电调控增强
US20100004705A1,C8,神经刺激监测装置
US20100003656A1,C30,脑电神经反馈康复训练
JP7688170B2,C29,深部脑刺激调控
US11883671B2,C4,神经刺激调控系统
US12168135B2,C4,神经刺激调控系统
CN101248992A,C6,电极阵列植入制造
CN115363591B,C6,电极阵列植入制造
CN115363591A,C6,电极阵列植入制造
CN101006920A,C2,柔性电极采集装置
CN102336386A,C2,柔性电极采集装置
CN112201324A,C19,脑机接口交互控制
WO2022226606A1,C4,神经刺激调控系统
US20060129205A1,C4,神经刺激调控系统
US20100145176A1,C43,癫痫监测预测干预
CN108744268A,C2,柔性电极采集装置
US62932906P0,C4,神经刺激调控系统
US20210361950A1,C4,神经刺激调控系统
US20220241596A1,C4,神经刺激调控系统
US20230302282A1,C4,神经刺激调控系统
US63062633P0,C4,神经刺激调控系统
WO2021092462A1,C4,神经刺激调控系统
CN115052657A,C4,神经刺激调控系统
US11672986B2,C4,神经刺激调控系统
US20250331928A1,C10,神经信息分析诊断
CN120420053A,C6,电极阵列植入制造
US10493297B2,C6,电极阵列植入制造
CN220385625U,C37,神经调节刺激控制
CN120616552A,C6,电极阵列植入制造
CN107024993A,C42,脑电听觉调控降噪
CN114642436A,C2,柔性电极采集装置
US10357649B2,C26,神经刺激电极装置
WO2018201779A1,C42,脑电听觉调控降噪
CN121059174A,C6,电极阵列植入制造
US10369352B2,C41,脑电电极采集装置
KR102128092B1,C26,神经刺激电极装置
CN120447729A,C4,神经刺激调控系统
CN116747429A,C2,柔性电极采集装置
CN113589941A,C19,脑机接口交互控制
KR20200016102A,C26,神经刺激电极装置
US9604051B2,C26,神经刺激电极装置
CN116747429B,C2,柔性电极采集装置
US20050075680A1,C8,神经刺激监测装置
US7302298B2,C9,经颅聚焦刺激装置
CN205252318U,C26,神经刺激电极装置
CN120066269A,C2,柔性电极采集装置
CN116269412A,C33,神经信号采集解码
WO2020249634A1,C6,电极阵列植入制造
CN109460144A,C19,脑机接口交互控制
CN117363481A,C6,电极阵列植入制造
CN110368577A,C2,柔性电极采集装置
US20080064946A1,C6,电极阵列植入制造
US20080288037A1,C2,柔性电极采集装置
CN120203592A,C2,柔性电极采集装置
US7107097B2,C6,电极阵列植入制造
US8078281B2,C35,神经刺激参数优化
US20120302856A1,C33,神经信号采集解码
US11684781B2,C8,神经刺激监测装置
US8116875B2,C37,神经调节刺激控制
US9179850B2,C9,经颅聚焦刺激装置
WO2024178317A2,C31,植入式神经接口系统
CN109260591B,C9,经颅聚焦刺激装置
CN109260591A,C9,经颅聚焦刺激装置
US20230277851A1,C24,闭环神经调控系统
CN119165965A,C14,脑电信号采集处理
CN223169743U,C2,柔性电极采集装置
CN119165965B,C14,脑电信号采集处理
US9433787B2,C6,电极阵列植入制造
CN120616550A,C2,柔性电极采集装置
WO2025227081A1,C14,脑电信号采集处理
CN120616550B,C2,柔性电极采集装置
CN120420053B,C6,电极阵列植入制造
US20250288242A1,C6,电极阵列植入制造
CN122004879A,C2,柔性电极采集装置
US9597494B2,C9,经颅聚焦刺激装置
US11298070B2,C8,神经刺激监测装置
US7231254B2,C24,闭环神经调控系统
CN118592963B,C2,柔性电极采集装置
US20090076567A1,C26,神经刺激电极装置
US6647296B2,C26,神经刺激电极装置
CN119868794A,C35,神经刺激参数优化
US12613624B2,C4,神经刺激调控系统
CN116077829B,C2,柔性电极采集装置
KR101610939B1,C4,神经刺激调控系统
US20070112393A1,C8,神经刺激监测装置
EP4000683A1,C29,深部脑刺激调控
US20030028072A1,C8,神经刺激监测装置
US11123548B2,C26,神经刺激电极装置
US10406350B2,C26,神经刺激电极装置
US20220240846A1,C24,闭环神经调控系统
US20230051757A1,C24,闭环神经调控系统
US2019262612A1,C33,神经信号采集解码
US11219766B2,C24,闭环神经调控系统
US10500399B2,C24,闭环神经调控系统
US8718777B2,C9,经颅聚焦刺激装置
US20090292344A1,C9,经颅聚焦刺激装置
US20190321639A1,C29,深部脑刺激调控
US11617887B2,C29,深部脑刺激调控
US8761889B2,C9,经颅聚焦刺激装置
US12515048B2,C4,神经刺激调控系统
US20090131995A1,C6,电极阵列植入制造
US10188860B2,C9,经颅聚焦刺激装置
US8538537B2,C8,神经刺激监测装置
US8965513B2,C9,经颅聚焦刺激装置
US10265525B2,C4,神经刺激调控系统
US20160228693A1,C29,深部脑刺激调控
US20070032834A1,C35,神经刺激参数优化
US20120109262A1,C35,神经刺激参数优化
US11766560B2,C26,神经刺激电极装置
US10695556B2,C26,神经刺激电极装置
CN113413157B,C19,脑机接口交互控制
CN113413157A,C19,脑机接口交互控制
EP1684861B1,C31,植入式神经接口系统
US20120296444A1,C8,神经刺激监测装置
WO2021194104A1,C36,自适应神经刺激调控
EP3915470A1,C37,神经调节刺激控制
US6459936B2,C37,神经调节刺激控制
US6360122B1,C10,神经信息分析诊断
US6134474A,C37,神经调节刺激控制
US6128538A,C37,神经调节刺激控制
US6016449A,C37,神经调节刺激控制
US20010056290A1,C37,神经调节刺激控制
US20010051819A1,C37,神经调节刺激控制
US2019269917A1,C4,神经刺激调控系统
ATE849235T1,C9,经颅聚焦刺激装置
DE602008047702T2,C9,经颅聚焦刺激装置
EP2205313B1,C9,经颅聚焦刺激装置
WO2021011401A1,C14,脑电信号采集处理
KR102035265B1,C9,经颅聚焦刺激装置
EP3731925A1,C8,神经刺激监测装置
US7532935B2,C8,神经刺激监测装置
US20070027500A1,C8,神经刺激监测装置
US20150374999A1,C35,神经刺激参数优化
US20170001017A9,C35,神经刺激参数优化
US20180117335A1,C35,神经刺激参数优化
US20100174329A1,C35,神经刺激参数优化
EP4084861A1,C13,多模态神经交互评估
US11529517B2,C8,神经刺激监测装置
CA2702944C,C9,经颅聚焦刺激装置
US20060106430A1,C26,神经刺激电极装置
US20090112278A1,C9,经颅聚焦刺激装置
US20110046470A1,C31,植入式神经接口系统
US6006124A,C9,经颅聚焦刺激装置
US7979105B2,C31,植入式神经接口系统
US8078252B2,C13,多模态神经交互评估
US8412302B2,C9,经颅聚焦刺激装置
WO2009067323A1,C9,经颅聚焦刺激装置
WO2024086346A1,C24,闭环神经调控系统
US20090112277A1,C9,经颅聚焦刺激装置
EP4015033A1,C26,神经刺激电极装置
EP4523731A1,C2,柔性电极采集装置
US2025251794A1,C2,柔性电极采集装置
WO2025166163A1,C2,柔性电极采集装置
US8954144B2,C33,神经信号采集解码
US20110264178A1,C26,神经刺激电极装置
US12239833B2,C18,神经刺激同步递送
WO2011067297A1,C6,电极阵列植入制造
US20110028859A1,C26,神经刺激电极装置
US8073546B2,C8,神经刺激监测装置
CN101058004A,C26,神经刺激电极装置
WO2008109298A2,C26,神经刺激电极装置
US12251557B2,C2,柔性电极采集装置
EP4445832A2,C29,深部脑刺激调控
WO2020099921A3,C6,电极阵列植入制造
US20150148869A1,C2,柔性电极采集装置
US12623080B2,C35,神经刺激参数优化
US20150088212A1,C8,神经刺激监测装置
US9242094B2,C35,神经刺激参数优化
US9211408B2,C37,神经调节刺激控制
US9878161B2,C29,深部脑刺激调控
WO2015153675A1,C29,深部脑刺激调控
US2020069959A1,C9,经颅聚焦刺激装置
US10758739B2,C4,神经刺激调控系统
US20040138578A1,C17,神经反馈刺激分析
US2014194771A1,C8,神经刺激监测装置
CA3098311A1,C31,植入式神经接口系统
KR102140137B1,C6,电极阵列植入制造
AU2024203319A1,C17,神经反馈刺激分析
WO2021141163A1,C29,深部脑刺激调控
JP2012508635A,C26,神经刺激电极装置
EP4424358A1,C4,神经刺激调控系统
CN118452935A,C6,电极阵列植入制造
EP1940508B1,C36,自适应神经刺激调控
US20090112279A1,C9,经颅聚焦刺激装置
US20110144716A1,C29,深部脑刺激调控
US11571576B2,C29,深部脑刺激调控
US62873745P0,C19,脑机接口交互控制
US10206597B2,C10,神经信息分析诊断
US20170020403A1,C31,植入式神经接口系统
US8364273B2,C35,神经刺激参数优化
CN120549502A,C2,柔性电极采集装置
US20050004621A1,C8,神经刺激监测装置
US20110092882A1,C4,神经刺激调控系统
US10953230B2,C18,神经刺激同步递送
US20040181263A1,C4,神经刺激调控系统
US20190001140A1,C35,神经刺激参数优化
US10709378B2,C4,神经刺激调控系统
US20220016415A1,C29,深部脑刺激调控
US11986649B2,C11,睡眠脑电调控增强
US20060212090A1,C8,神经刺激监测装置
US11998748B2,C35,神经刺激参数优化
US20170120043A1,C14,脑电信号采集处理
US20110307030A1,C14,脑电信号采集处理
WO2024229479A1,C37,神经调节刺激控制
US20080033503A1,C26,神经刺激电极装置
US20080046035A1,C9,经颅聚焦刺激装置
US9155892B2,C35,神经刺激参数优化
CN117547357A,C9,经颅聚焦刺激装置
US8762065B2,C24,闭环神经调控系统
US11691015B2,C33,神经信号采集解码
US20070142874A1,C35,神经刺激参数优化
US9949376B2,C15,心理生理反馈调节
US20180185649A1,C29,深部脑刺激调控
US20060058856A1,C4,神经刺激调控系统
US20190217116A1,C4,神经刺激调控系统
US8457747B2,C8,神经刺激监测装置
US20150297444A1,C18,神经刺激同步递送
US20150018898A1,C18,神经刺激同步递送
US20160022168A1,C2,柔性电极采集装置
US20140107728A1,C4,神经刺激调控系统
US20070027499A1,C29,深部脑刺激调控
US20210031034A1,C8,神经刺激监测装置
US20080269836A1,C35,神经刺激参数优化
US20130046358A1,C4,神经刺激调控系统
CN101522256A,C6,电极阵列植入制造
US6343226B1,C8,神经刺激监测装置
CN121360335B,C35,神经刺激参数优化
US2013090542A1,C6,电极阵列植入制造
US8958890B2,C31,植入式神经接口系统
CN121795928B,C8,神经刺激监测装置
US20150157862A1,C8,神经刺激监测装置
CN121795928A,C10,神经信息分析诊断
WO2019211314A1,C9,经颅聚焦刺激装置
US20030009207A1,C31,植入式神经接口系统
US20250366767A1,C6,电极阵列植入制造
US20170035316A1,C43,癫痫监测预测干预
JP2020074993A,C31,植入式神经接口系统
US7892182B2,C11,睡眠脑电调控增强
US7341562B2,C11,睡眠脑电调控增强
US20060265022A1,C11,睡眠脑电调控增强
US20060129204A1,C11,睡眠脑电调控增强
US20240408396A1,C26,神经刺激电极装置
CN104225790A,C24,闭环神经调控系统
JP2016510230A5,C11,睡眠脑电调控增强
US12605548B2,C17,神经反馈刺激分析
US11172864B2,C4,神经刺激调控系统
US9974455B2,C35,神经刺激参数优化
CA3082656A1,C33,神经信号采集解码
KR101356625B1,C36,自适应神经刺激调控
US20180133459A1,C2,柔性电极采集装置
US20150273206A1,C13,多模态神经交互评估
US8180460B2,C2,柔性电极采集装置
US8014878B2,C26,神经刺激电极装置
US20160144165A1,C6,电极阵列植入制造
US11363981B2,C35,神经刺激参数优化
US62758363P0,C31,植入式神经接口系统
US62640752P0,C31,植入式神经接口系统
US2018333587A1,C4,神经刺激调控系统
US9302110B2,C29,深部脑刺激调控
US9084896B2,C29,深部脑刺激调控
US20220355115A1,C37,神经调节刺激控制
US20030004429A1,C4,神经刺激调控系统
WO2009055127A1,C8,神经刺激监测装置
US20090105784A1,C35,神经刺激参数优化
US20050154426A1,C8,神经刺激监测装置
CN121371498B,C24,闭环神经调控系统
CN121371498A,C24,闭环神经调控系统
US20230071069A1,C18,神经刺激同步递送
CN118001586A,C35,神经刺激参数优化
WO2024204823A1,C29,深部脑刺激调控
US7422555B2,C8,神经刺激监测装置
US20250242167A1,C18,神经刺激同步递送
CN122097849A,C9,经颅聚焦刺激装置
CN120478839A,C37,神经调节刺激控制
JP2016510230A,C37,神经调节刺激控制
JP2023536763A,C29,深部脑刺激调控
WO2022226211A1,C29,深部脑刺激调控
CN119345607B,C24,闭环神经调控系统
CN119345607A,C24,闭环神经调控系统
WO2023250309A3,C34,脑电图像生成与映射
CA2428116A1,C2,柔性电极采集装置
US7561918B2,C37,神经调节刺激控制
US20060212093A1,C36,自适应神经刺激调控
US11944806B2,C29,深部脑刺激调控
US62948723P0,C25,脑电信号模式识别
US9326720B2,C0,脑电情绪识别分析
US12491359B2,C2,柔性电极采集装置
CN118948291A,C6,电极阵列植入制造
CN109222956A,C26,神经刺激电极装置
WO2020205677A1,C9,经颅聚焦刺激装置
US20210361235A1,C41,脑电电极采集装置
KR20200063478A,C3,脑电状态检测评估
WO2025253119A1,C2,柔性电极采集装置
KR102014516B1,C29,深部脑刺激调控
US10478086B2,C17,神经反馈刺激分析
JP7784741B2,C36,自适应神经刺激调控
US20130281890A1,C37,神经调节刺激控制
US8303480B2,C4,神经刺激调控系统
US7282021B2,C4,神经刺激调控系统
US9433789B2,C8,神经刺激监测装置
CN118592963A,C19,脑机接口交互控制
KR101645852B1,C28,脑波交互反馈系统
US20220007985A1,C6,电极阵列植入制造
US62948712P0,C6,电极阵列植入制造
WO2025034993A1,C8,神经刺激监测装置
CN114224366B,C33,神经信号采集解码
CN114224366A,C33,神经信号采集解码
US9878155B1,C4,神经刺激调控系统
EP4193909A1,C19,脑机接口交互控制
CN113426007A,C24,闭环神经调控系统
CN119200848A,C29,深部脑刺激调控
CN113057657A,C0,脑电情绪识别分析
CN113057657B,C0,脑电情绪识别分析
EP4569511A1,C8,神经刺激监测装置
WO2024036213A1,C33,神经信号采集解码
US63370920P0,C33,神经信号采集解码
US2025248636A1,C2,柔性电极采集装置
WO2025170999A1,C2,柔性电极采集装置
US63549722P0,C2,柔性电极采集装置
JP5041584B2,C26,神经刺激电极装置
CN110432900B,C5,眼动脑电视觉分析
CN110432900A,C5,眼动脑电视觉分析
IN202411020509A,C12,视觉脑电解码评估
IN202541038393A,C33,神经信号采集解码
CN120815287A,C35,神经刺激参数优化
CN114504730A,C36,自适应神经刺激调控
CN206507945U,C8,神经刺激监测装置
CN121846521A,C9,经颅聚焦刺激装置
CN111046764A,C14,脑电信号采集处理
CN119499546A,C37,神经调节刺激控制
CN119405966A,C36,自适应神经刺激调控
CN109364370A,C26,神经刺激电极装置
CN120679086A,C36,自适应神经刺激调控
CN120679086B,C36,自适应神经刺激调控
CN110755041A,C27,认知意识神经评估
CN110755041B,C27,认知意识神经评估
US12447349B2,C19,脑机接口交互控制
US2022176136A1,C19,脑机接口交互控制
CN111281379A,C11,睡眠脑电调控增强
CN120324785A,C0,脑电情绪识别分析
CN118177832A,C25,脑电信号模式识别
CN118177832B,C25,脑电信号模式识别
WO2022013827A2,C36,自适应神经刺激调控
US12572208B1,C19,脑机接口交互控制
US12144637B2,C8,神经刺激监测装置
CN118576215A,C35,神经刺激参数优化
CN113289249A,C37,神经调节刺激控制
CN121422395A,C12,视觉脑电解码评估
CN121422395B,C12,视觉脑电解码评估
US20030097161A1,C9,经颅聚焦刺激装置
US20020087201A1,C9,经颅聚焦刺激装置
US20060195155A1,C9,经颅聚焦刺激装置
US20140222113A1,C35,神经刺激参数优化
US20080071323A1,C26,神经刺激电极装置
CN115212422A,C11,睡眠脑电调控增强
CN115591113A,C0,脑电情绪识别分析
CN122075018A,C24,闭环神经调控系统
US20250114597A1,C37,神经调节刺激控制
CN117323537A,C37,神经调节刺激控制
CN115212455A,C29,深部脑刺激调控
CN114901351A,C8,神经刺激监测装置
CN115644892A,C43,癫痫监测预测干预
CN1977997A,C29,深部脑刺激调控
CN1985758A,C29,深部脑刺激调控
US20210007602A1,C6,电极阵列植入制造
US20060149337A1,C35,神经刺激参数优化
US7734340B2,C8,神经刺激监测装置
US2018333582A1,C29,深部脑刺激调控
US20140296646A1,C9,经颅聚焦刺激装置
CN113457008A,C4,神经刺激调控系统
US9339654B2,C8,神经刺激监测装置
US9272145B2,C8,神经刺激监测装置
US9089707B2,C8,神经刺激监测装置
US8934967B2,C8,神经刺激监测装置
US7623928B2,C4,神经刺激调控系统
US8862236B2,C8,神经刺激监测装置
US7974696B1,C37,神经调节刺激控制
US7403820B2,C37,神经调节刺激控制
US7324851B1,C24,闭环神经调控系统
US9138579B2,C8,神经刺激监测装置
CN116077829A,C4,神经刺激调控系统
WO2022112908A1,C6,电极阵列植入制造
US20200330749A1,C19,脑机接口交互控制
US9113801B2,C37,神经调节刺激控制
CN100536958C,C29,深部脑刺激调控
CN117653148A,C44,脑电频率识别分析
CN117653148B,C44,脑电频率识别分析
CN110585593A,C35,神经刺激参数优化
US11896852B2,C18,神经刺激同步递送
CN121371491A,C9,经颅聚焦刺激装置
US20250072811A1,C25,脑电信号模式识别
WO2021138543A1,C41,脑电电极采集装置
US20210196958A1,C25,脑电信号模式识别
US20220096841A1,C25,脑电信号模式识别
US20080215112A1,C9,经颅聚焦刺激装置
US7577481B2,C9,经颅聚焦刺激装置
JP2009202020A,C8,神经刺激监测装置
US20230414157A1,C6,电极阵列植入制造
US20180085573A1,C6,电极阵列植入制造
US20180014772A1,C8,神经刺激监测装置
US9854987B2,C33,神经信号采集解码
US8000794B2,C37,神经调节刺激控制
US20100004717A1,C8,神经刺激监测装置
WO2024175218A1,C4,神经刺激调控系统
US2018093093A1,C4,神经刺激调控系统
DE102012002436A1,C8,神经刺激监测装置
CN118723920B,C41,脑电电极采集装置
CN118723920A,C14,脑电信号采集处理
US20220347473A1,C37,神经调节刺激控制
CN110215605A,C9,经颅聚焦刺激装置
US9867978B1,C9,经颅聚焦刺激装置
US2025114024A1,C14,脑电信号采集处理
WO2019130248A1,C19,脑机接口交互控制
US2015045642A1,C4,神经刺激调控系统
WO2020095111A1,C33,神经信号采集解码
US12070603B2,C25,脑电信号模式识别
US8412335B2,C35,神经刺激参数优化
US20240285953A1,C29,深部脑刺激调控
US11738192B2,C20,脑控轮椅交互系统
US11464980B2,C24,闭环神经调控系统
JP2022521830A,C9,经颅聚焦刺激装置
CN109645991A,C6,电极阵列植入制造
US8914119B2,C44,脑电频率识别分析
US20070208212A1,C37,神经调节刺激控制
US20070167991A1,C8,神经刺激监测装置
US20060293720A1,C37,神经调节刺激控制
US20070161919A1,C8,神经刺激监测装置
US20070088403A1,C35,神经刺激参数优化
US20120035684A1,C8,神经刺激监测装置
US20110213266A1,C33,神经信号采集解码
US7974705B2,C26,神经刺激电极装置
US8639344B2,C26,神经刺激电极装置
EP4011438A1,C6,电极阵列植入制造
US2018178013A1,C14,脑电信号采集处理
US7636602B2,C24,闭环神经调控系统
US20030050549A1,C31,植入式神经接口系统
US2018235704A1,C6,电极阵列植入制造
US20020177882A1,C8,神经刺激监测装置
US2020222010A1,C33,神经信号采集解码
US10058263B2,C33,神经信号采集解码
US9320900B2,C17,神经反馈刺激分析
US10413724B2,C4,神经刺激调控系统
US10933243B2,C4,神经刺激调控系统
US20020002390A1,C10,神经信息分析诊断
US20080004676A1,C8,神经刺激监测装置
US20190217113A1,C35,神经刺激参数优化
US20250205489A1,C8,神经刺激监测装置
US20040073273A1,C37,神经调节刺激控制
US20030114886A1,C8,神经刺激监测装置
US11413460B2,C35,神经刺激参数优化
US20160001096A1,C37,神经调节刺激控制
US7006859B1,C2,柔性电极采集装置
US7551951B1,C2,柔性电极采集装置
US20080045775A1,C29,深部脑刺激调控
US20100262205A1,C8,神经刺激监测装置
US10413235B2,C4,神经刺激调控系统
US11890489B2,C34,脑电图像生成与映射
US2019143120A1,C8,神经刺激监测装置
US11344745B2,C35,神经刺激参数优化
US20210213279A1,C9,经颅聚焦刺激装置
EP4701716A1,C19,脑机接口交互控制
US20240390676A2,C24,闭环神经调控系统
US11944440B2,C8,神经刺激监测装置
US2017043167A1,C29,深部脑刺激调控
EP2939706A1,C44,脑电频率识别分析
US11697020B2,C29,深部脑刺激调控
US20110093052A1,C8,神经刺激监测装置
WO2026089575A1,C33,神经信号采集解码
CN113101517A,C35,神经刺激参数优化
US7548775B2,C13,多模态神经交互评估
US20110224752A1,C24,闭环神经调控系统
CN120549502B,C2,柔性电极采集装置
US10668283B2,C14,脑电信号采集处理
