window,pub
pre2000,US5743860A
pre2000,US5762611A
pre2000,US5813993A
pre2000,US5815413A
pre2000,US5816247A
pre2000,US5857978A
pre2000,US5938688A
pre2000,US5983129A
pre2000,US5995868A
pre2000,US5999846A
pre2000,US6001065A
pre2000,US6011991A
pre2000,US6016449A
pre2000,US6061593A
pre2000,US6067467A
pre2000,US6115631A
pre2000,US6128538A
pre2000,US6167298A
pre2000,US6171239B1
pre2000,US6230049B1
pre2000,US6254536B1
pre2000,US6272378B1
pre2000,US6292688B1
pre2000,US6304775B1
pre2000,US6317627B1
pre2000,US6343226B1
pre2000,US6364845B1
pre2000,US6496724B1
pre2000,US6549804B1
pre2000,US6671543B1
pre2000,US6966778B2
pre2000,US6978183B2
pre2000,US7146211B2
pre2000,US7202793B2
pre2000,US7239919B2
pre2000,US7305370B2
pre2000,US7764989B2
pre2000,US7787944B2
pre2000,US8062129B2
pre2000,US8209019B2
pre2000,US8326417B2
pre2000,US8423106B2
pre2000,US9370457B2
pre2000,US9895107B2
pre2000,WO0025668A1
pre2000,WO03085546A1
2000_2005,US20030074032A1
2000_2005,US20030088274A1
2000_2005,US20030097161A1
2000_2005,US20030130706A1
2000_2005,US20030187490A1
2000_2005,US20040088024A1
2000_2005,US20040102828A1
2000_2005,US20040111127A1
2000_2005,US20040158298A1
2000_2005,US20050004620A1
2000_2005,US20050021105A1
2000_2005,US20050021107A1
2000_2005,US20050021118A1
2000_2005,US20050033378A1
2000_2005,US20050070971A1
2000_2005,US20050075679A1
2000_2005,US20050075680A1
2000_2005,US20060015153A1
2000_2005,US6990377B2
2000_2005,US7010351B2
2000_2005,US7024247B2
2000_2010,US20070055169A1
2000_2010,US20090024049A1
2000_2010,US20090024447A1
2000_2010,US20090024448A1
2000_2010,US20090024449A1
2000_2010,US20090024475A1
2000_2010,US20090030287A1
2000_2010,US20090030303A1
2000_2010,US20090030717A1
2000_2010,US20090030930A1
2000_2010,US20090036755A1
2000_2010,US20090036756A1
2000_2010,US20090062629A1
2000_2010,US20090062681A1
2000_2010,US20090063256A1
2000_2010,US20090070798A1
2000_2010,US20090082643A1
2000_2010,US20090083129A1
2000_2010,US20090328089A1
2000_2010,US20110046502A1
2000_2010,US20110046503A1
2000_2010,US20110046504A1
2000_2010,US20110047121A1
2000_2010,US20110105937A1
2000_2010,US20110237971A1
2000_2010,US8209224B2
2000_2010,US8270814B2
2000_2010,US8386312B2
2000_2010,US8386313B2
2000_2010,US8392250B2
2000_2010,US8392251B2
2000_2010,US8392253B2
2000_2010,US8392254B2
2000_2010,US8392255B2
2000_2010,US8484081B2
2000_2010,US8494610B2
2000_2010,US8494905B2
2000_2010,US8635105B2
2000_2010,US8655428B2
2000_2010,US8655437B2
2000_2015,US20070055169A1
2000_2015,US20080221400A1
2000_2015,US20090024049A1
2000_2015,US20090024447A1
2000_2015,US20090024448A1
2000_2015,US20090024449A1
2000_2015,US20090024475A1
2000_2015,US20090030287A1
2000_2015,US20090030303A1
2000_2015,US20090030717A1
2000_2015,US20090030930A1
2000_2015,US20090036755A1
2000_2015,US20090036756A1
2000_2015,US20090062629A1
2000_2015,US20090062681A1
2000_2015,US20090063256A1
2000_2015,US20090070798A1
2000_2015,US20090082643A1
2000_2015,US20090083129A1
2000_2015,US20090131764A1
2000_2015,US20090328089A1
2000_2015,US20110046502A1
2000_2015,US20110046503A1
2000_2015,US20110046504A1
2000_2015,US20110047121A1
2000_2015,US20110105937A1
2000_2015,US20110237971A1
2000_2015,US8209224B2
2000_2015,US8270814B2
2000_2015,US8386312B2
2000_2015,US8386313B2
2000_2015,US8392250B2
2000_2015,US8392251B2
2000_2015,US8392253B2
2000_2015,US8392254B2
2000_2015,US8392255B2
2000_2015,US8484081B2
2000_2015,US8494610B2
2000_2015,US8494905B2
2000_2015,US8635105B2
2000_2015,US8655428B2
2000_2015,US8655437B2
2000_2015,US9336535B2
2000_2020,US20070055169A1
2000_2020,US20090024049A1
2000_2020,US20090024447A1
2000_2020,US20090024448A1
2000_2020,US20090024449A1
2000_2020,US20090024475A1
2000_2020,US20090030287A1
2000_2020,US20090030303A1
2000_2020,US20090030717A1
2000_2020,US20090030930A1
2000_2020,US20090036755A1
2000_2020,US20090036756A1
2000_2020,US20090062629A1
2000_2020,US20090062681A1
2000_2020,US20090063256A1
2000_2020,US20090070798A1
2000_2020,US20090082643A1
2000_2020,US20090083129A1
2000_2020,US20090328089A1
2000_2020,US20110046502A1
2000_2020,US20110046503A1
2000_2020,US20110046504A1
2000_2020,US20110047121A1
2000_2020,US20110105937A1
2000_2020,US8386312B2
2000_2020,US8386313B2
2000_2020,US8392250B2
2000_2020,US8392251B2
2000_2020,US8484081B2
2000_2020,US8494905B2
2000_2020,US8533042B2
2000_2020,US8635105B2
2000_2020,US8655428B2
2000_2020,US8655437B2
2000_2026,US20070055169A1
2000_2026,US20090024049A1
2000_2026,US20090024447A1
2000_2026,US20090024448A1
2000_2026,US20090024449A1
2000_2026,US20090024475A1
2000_2026,US20090030287A1
2000_2026,US20090030303A1
2000_2026,US20090030717A1
2000_2026,US20090030930A1
2000_2026,US20090036755A1
2000_2026,US20090036756A1
2000_2026,US20090062629A1
2000_2026,US20090062681A1
2000_2026,US20090063256A1
2000_2026,US20090070798A1
2000_2026,US20090082643A1
2000_2026,US20090083129A1
2000_2026,US20090328089A1
2000_2026,US20110046502A1
2000_2026,US20110046503A1
2000_2026,US20110046504A1
2000_2026,US20110047121A1
2000_2026,US20110105937A1
2000_2026,US8386312B2
2000_2026,US8386313B2
2000_2026,US8392250B2
2000_2026,US8392251B2
2000_2026,US8392253B2
2000_2026,US8392254B2
2000_2026,US8392255B2
2000_2026,US8484081B2
2000_2026,US8494610B2
2000_2026,US8494905B2
2000_2026,US8533042B2
2000_2026,US8635105B2
2000_2026,US8655428B2
2000_2026,US8655437B2
