pub,topic_code,topic_name,country,is_cn,year,func,scene,princ,in_degree
US8855775B2,A61N1,电疗器械,美国,0,2012,控制感测组件被供电以获取信号的时间与刺激组件被供电以刺激对象的时间显著不同,神经功能障碍检测,通过控制感测与刺激的时间间隔显著不同，减少刺激信号对感测信号的干扰,62.0
US8524311B1,A61N1,电疗器械,美国,0,2007,在绝缘体聚合物基层上沉积金属迹线层|处理绝缘体聚合物层|施加光刻胶层并图案化|沉积顶部绝缘体聚合物层|活化绝缘体聚合物基层,人工视觉|视网膜刺激,聚合物材料作为电极阵列体|通过图案化金属层产生电极和引线|通过涂覆第二层聚合物并图案化留下开口,19.0
US20050154435A1,A61N1,电疗器械,美国,0,2004,建立预期类型的刺激场分布|提供电刺激|监测神经电活动|监测配置,,,154.0
CN117180612B,A61N1,电疗器械,中国,1,2023,使递送电刺激的刺激触点和同时采集生理信号的采集触点相隔离|接收脉冲发生器的选通指令并生成开关控制信号|根据开关控制信号建立多路选通通道,植入式医疗设备,开关控制信号用于使递送电刺激的刺激触点和同时采集生理信号的采集触点相隔离|通过控制模块、阵列开关和电极阵列模块组成的电极,0.0
CN117180612A,A61N1,电疗器械,中国,1,2023,使递送电刺激的刺激触点和同时采集生理信号的采集触点相隔离|接收脉冲发生器的选通指令并生成开关控制信号|根据开关控制信号建立多路选通通道,植入式医疗设备,通过控制模块、阵列开关和电极阵列模块组成的电极，在患者体内同时实现电刺激和生理信号采集,6.0
WO2010055421A1,A61N1,电疗器械,世界知识产权组织,0,2009,制造和使用相同的方法|微电极阵列装置|高局部和高效的电刺激,动物神经系统|深的人的脑内,,112.0
US20240226565A9,A61N1,电疗器械,美国,0,2022,具有单独的通道连接的插入器导电地结合到单独的细长引线连接|基底设置|引线连接|柔性生物相容性聚合物使各个细长引线连接绝缘并支撑阵列|灌注通孔贯穿基板设置,临床使用,,0.0
US6665562B2,A66N1,未知分类,美国,0,2000,原位施加亚阈值和定向电场|响应于所测量的神经元活性改变电场大小和极性|施加定向电场|测量神经元活性,听觉活动恢复|帕金森病|感觉功能恢复|癫痫|药物测试|视觉活动恢复|身体活动恢复|运动活动恢复,亚阈值电场抑制异常活动|电场调制神经元活性,204.0
US10449357B2,A61N1,电疗器械,美国,0,2017,利用机器学习专家系统|基于神经活动的一个或多个特征预测|施加电刺激|记录神经活动的NRT测量值,神经系统,NRT测量值|决策树,0.0
US20040186532A1,A61N1,电疗器械,美国,0,2004,化学刺激|电刺激|组合的电和化学刺激,,,200.0
US12377274B2,A61N1,电疗器械,美国,0,2022,从信号中的每一个提取一个或多个波形特征|使用系列中的未被破坏的神经响应信号和/或问题神经响应信号的未被破坏的部分来内插用于被破坏的信号的波形特征的值|检查，以确定和分类记录的神经反应信号或其部分中的任何一个是否被破坏|记录一系列诱发神经反应信号,刺激参数优化|引线植入/定位|深部脑刺激治疗,使用未被破坏的信号或其部分来内插|波形特征可以用作生物标记和/或控制信号,0.0
US20250010078A1,A61N1,电疗器械,美国,0,2024,利用神经记录帮助确定神经刺激设置|测试神经刺激设置|测量神经刺激对神经活动的影响,脑深部刺激治疗癫痫,,0.0
US20110130615A1,A61N2,磁疗器械,美国,0,2010,使用多种治疗方式进行深部或浅部深部脑刺激|协调控制能量发射的方向、强度、会话持续时间、频率、脉冲串持续时间、相位和会话次数|辅助监测或成像来提供反馈,功能刺激|深部脑刺激|神经刺激疗法|经颅直流电刺激,影响一个神经回路中的多个点或多个神经回路中的一个或多个点|长期增强(LTP)或长期抑郁(LTD),76.0
US12376780B2,A61B5,身体诊断测量,美国,0,2021,从与目标结构接触地植入的至少一个电极获得神经测量|向脑的目标结构施加刺激|捕获在刺激开始后1.5-10ms的时间段内出现的神经反应,术中变化监测|深部脑刺激的治疗范围评估|疾病进展监测|药物疗效评估,晚期反应是有用的生物标志物,0.0
EP3684463A1,A61N1,电疗器械,欧洲专利局,0,2018,用至少一个自动处理器处理所确定的脑电波模式|确定反映熟练受试者神经元活动的脑电波模式|通过选自感觉刺激、外周刺激、经颅刺激和深部脑刺激的刺激使受检者训练经受脑夹带,,依赖于从反映熟练受试者神经元活动的脑电波中提取的经处理的时间模式|脑夹带,1.0
US2016220836A1,A61N1,电疗器械,美国,0,2016,估计期望的脑电图节律相位的下一次出现|使脑刺激脉冲与自然发生的脑节律同步定时发生|执行实时信号分析|提取频域相位信息|电刺激,神经系统疾病的治疗,同步定时|锁相|频域相位信息,0.0
CN110325237A,A61M21,精神治疗装置,中国,1,2017,刺激发生器|神经刺激|经皮递送,学习,神经调节,2.0
EP1335668A1,A61B5,身体诊断测量,欧洲专利局,0,2001,刺激患者的神经组织|植入深度电极|确定兴奋性和难治性参数,癫痫发作|神经功能障碍,基于测得的电生理参数进行识别|通过刺激神经组织确定参数,38.0
EP1335668B1,A61B5,身体诊断测量,欧洲专利局,0,2001,刺激神经组织|测定电生理参数|确定兴奋性和难治性参数,癫痫发作预测|神经功能障碍检测,兴奋性和难治性(或抑制周期)的参数与异常神经活性的关联,9.0
WO2021118383A1,A61H1,物理康复器械,世界知识产权组织,0,2019,以计算机屏幕上虚拟物体的运动形式提供视觉模态反馈|使用脉冲信号对手臂肌肉进行功能性电刺激|练习执行针对抓取、握持、转移和释放物体的循环运动,,,3.0
JP2023509633A,A61N1,电疗器械,日本,0,2020,定义刺激参数值|显示脑信号信息|递送电刺激,临床医生|患者,,0.0
EP4221819A1,A61N1,电疗器械,欧洲专利局,0,2021,显示脑信号信息及刺激参数值|检测电生理信号|管理电刺激治疗|识别电极组合,感测生理信号|电刺激治疗,,0.0
US20020072770A1,A61N1,电疗器械,美国,0,2001,传送非响应性电刺激信号|使异常同步的脑电活动不同步|电刺激信号传送,治疗疾病|癫痫,去同步化|降低癫痫发作的可能性,207.0
US20020077670A1,A61N1,电疗器械,美国,0,2001,传送非响应性电刺激信号|电刺激信号传送,治疗疾病|癫痫,刺激|非响应性电刺激,293.0
US7174213B2,A61N1,电疗器械,美国,0,2001,传送响应性电刺激信号|传送非响应性电刺激信号,治疗疾病|癫痫,刺激|非响应性电刺激信号被施加到中枢神经系统以降低癫痫发作可能性,106.0
US9440064B2,A61B5,身体诊断测量,美国,0,2014,刺激控制|聚焦刺激源|识别接口定位|识别附件|诱导神经调节,孤独症|抑郁症|昏迷|疼痛控制|癫痫|神经系统疾病的治疗|神经系统疾病的诊断|运动障碍|阿尔茨海默病,神经调节|颅骨/脑界面刺激,36.0
DE102012002437A1,A61N1,电疗器械,德国,0,2012,时间-延迟刺激|相-复位刺激|选择刺激触点,刺激患者的脑中神经元和/或脊髓,时间延迟刺激抑制病理同步振荡|相-复位机制,21.0
WO2023147514A1,A61N1,电疗器械,世界知识产权组织,0,2023,脉冲递送|随机化刺激,,,0.0
KR102928977B1,A61N1,电疗器械,韩国,0,2023,基于实时脑信号向需要康复治疗的对象诱导电刺激和触觉刺激|将测量的脑活动信号与预设的参考脑活动信号进行比较|检测需要进行康复治疗的脑活动感兴趣区域,康复治疗,通过向受试者的大脑施加电刺激来控制受试者的大脑活动|通过诱发被检体的触觉刺激行为，控制被检体的脑活动,0.0
US20230055962A1,A61N2,磁疗器械,美国,0,2022,将磁刺激与感官刺激组合,向患者施用多重刺激,影响人的EEG带的固有频率,11.0
US2020138324A1,A61N1,电疗器械,美国,0,2018,施加第二刺激|检测高频振荡(HFO)|生成第二刺激|确定波形特征|递送第二刺激,大脑神经活动监测,相-复位机制|高频振荡波形特征反馈调节刺激,0.0
US12409325B2,A61N1,电疗器械,美国,0,2022,刺激参数调整|基于感测到的生物电反应，推导出神经兴奋性曲线|感测受刺激的传入感觉神经纤维的生物电反应|脉冲递送,计算机脑接口设备,传入感觉神经纤维的非线性动态激发行为,0.0
WO2024178317A3,A61B5,身体诊断测量,世界知识产权组织,0,2024,刺激发生器|双重作用微型电极|局部放大和多路复用|感测组件|闭环可植入神经接口,外部处理单元|大脑内,信号引线|神经元生成的电信号|集成电子电路,0.0
US11992685B2,A61N1,电疗器械,美国,0,2021,将所选择的相位同步计算与神经学或神经生理学状况的预测或检测相关联|确定神经生理信号之间的相位同步性,向受试者递送刺激,相位同步性,6.0
CN108379736B,A61N1,电疗器械,中国,1,2015,时序关系的脉冲刺激|电压检测电路|诱发神经元爆发动作电位|输出控制电路,医疗器械领域|恢复具有生理功能的神经活动|激发神经活动,,0.0
WO2007049105A1,A61N1,电疗器械,世界知识产权组织,0,2006,刺激参数调整|确定反馈刺激参数|适应治疗连续地对该患者的临床状态|采集表征信号,神经刺激疗法|神经疾病治疗,基于表征信号确定反馈刺激参数|通过分析水平调整和优化生物电的信号,12.0
WO2023081218A1,A61N1,电疗器械,世界知识产权组织,0,2022,提供刺激|机器学习疼痛解码器模型|检测神经信号|监测脑电图信号,疼痛控制,疼痛指示,1.0
CA3237603A1,A61N1,电疗器械,加拿大,0,2022,机器学习疼痛解码器模型|检测神经信号|监测脑电图信号,疼痛控制,疼痛指示,0.0
US8412332B2,A61N1,电疗器械,美国,0,2008,产生脑刺激电流|感应电压|植入脑内,,电磁场感应|自包含系统,16.0
US8521294B2,A61N1,电疗器械,美国,0,2009,基于点处理模型确定校正电刺激信号的特征|施用校正的电刺激信号|预测未来的神经活动,,点处理模型,20.0
US11712564B2,A61N1,电疗器械,美国,0,2021,使用所述一个或多个客观度量和相关联的刺激参数集来生成患者特异性响应模型|使用每组刺激参数的患者数据来确定一个或多个客观度量|将优化算法应用于所生成的响应模型以确定一个或多个刺激参数的候选集合|接收患者数据和由神经刺激设备递送给患者的刺激相关联的刺激参数集合,脑深部刺激,,3.0
US20220266022A1,A61N1,电疗器械,美国,0,2022,从信号中提取一个或多个特征|使用一个或多个分类准则来处理和分析电信号|用作生物标记|神经刺激治疗|记录脑电图信号,协同复位神经调节|多位点刺激范例,本质上是振荡的和/或共振的被诱发的神经响应|闭环反馈控制,9.0
EP4429757A4,A61N1,电疗器械,欧洲专利局,0,2022,机器学习疼痛解码器模型|监测脑电图信号|闭环神经接口,,,0.0
JP5775066B2,A61N2,磁疗器械,日本,0,2010,交叉进行|治疗递送|认知训练,神经系统疾病的治疗,活化在预定的时间发生,3.0
US9199089B2,A61N1,电疗器械,美国,0,2012,闭环神经接口,,,49.0
US7050856B2,A61N1,电疗器械,美国,0,2002,刺激参数中的至少一个是伪随机变化的|基于具有伪随机变化的第一刺激参数并且基于规定第一参数中的变化如何影响第二参数的期望值的预定关系来改变第二刺激参数|改变刺激参数,,,168.0
WO2020003173A1,A61B5,身体诊断测量,世界知识产权组织,0,2019,改变自然刺激信号|脑电图测量|调整改变,神经病学病变|阿尔茨海默病,以诱发脑电波刺激的频率改变自然刺激信号,2.0
WO9745160A1,A61N1,电疗器械,世界知识产权组织,0,1997,经血管刺激神经或神经干|调节神经可塑性|迷走神经的电刺激,人类和动物中治疗持续性障碍的意识的调节,调节大脑神经的可塑性,59.0
WO2012129574A2,A61B5,身体诊断测量,世界知识产权组织,0,2012,与外部计算设备通信|使用传感器数据|电极装置放置,,,149.0
WO2022182892A1,A61N1,电疗器械,世界知识产权组织,0,2022,电刺激递送|递送电刺激,深部脑刺激,电刺激,0.0
WO2022033039A1,A61N1,电疗器械,世界知识产权组织,0,2021,利用光刺激的高度选择性|利用水凝胶电极的生物相容性和导光导电特性|将电刺激调整为亚阈值刺激状态,,基于脑电信号的光电组合刺激方式|水凝胶电极的生物相容性和导光导电特性,5.0
US20230381512A1,A61N1,电疗器械,美国,0,2023,个性化靶向非侵入性刺激|使用个体患者的数据来识别最佳治疗目标|数据处理|治疗递送|确定刺激强度、频率或波形,临床症状改善|神经刺激疗法|经颅电磁感应|脑代谢调节|认知功能恢复,局部脑代谢的变化|皮质兴奋性调节|神经可塑性|经颅电磁感应,10.0
US20140243931A1,A61N1,电疗器械,美国,0,2012,使用电极阵列和刺激的适当相对定时|在第一刺激之后的不应期内递送第二刺激|征募纤维群|施加被配置成在抑制心理物理副作用的同时产生治疗效果的刺激序列,神经刺激,不应期|同步或去同步|纤维群征募,96.0
WO2011013041A1,A61N1,电疗器械,世界知识产权组织,0,2010,加工所获得的信号|将空间分布的刺激幅度施加到阵列的刺激电极|接收所获得的信号|确定空间分布刺激的幅度,,,5.0
US20010029391A1,A61N1,电疗器械,美国,0,2000,响应于所测量的神经元活性改变施加电场的大小和极性|将亚阈值和定向电场原位施加到患者的脑|将定向电场施加到所述神经系统|测量神经元活性|通过与脑接触的场电极施加电场,听觉活动恢复|感觉恢复|脑疾病治疗|药物测试|视觉活动恢复|身体活动恢复|运动活动恢复,亚阈值电场|定向电场调制|电场响应机制,89.0
US20100130844A1,A61N1,电疗器械,美国,0,2008,在收缩配置和膨胀配置之间移动|触点与皮层表面接合,皮层刺激|皮层记录,柔性元件的收缩和膨胀配置|触点与皮层表面的接合,58.0
WO0141867A1,A61N1,电疗器械,世界知识产权组织,0,2000,改变电场大小和极性|施加定向电场|测量神经元活性,慢性疼痛治疗|癫痫|脑疾病治疗,亚阈值电场,34.0
US20040158298A1,A61N1,电疗器械,美国,0,2001,生成命令信号|确定期望刺激|确定期望配置|评估响应信号,感测位置|植入式医疗设备,,295.0
US6339725B1,A61N1,电疗器械,美国,0,2000,电刺激信号|调节脑的预选部分的活性|调节迷走神经|选择合适的人或动物受试者,人类和动物中治疗持续性障碍的意识的调节|改善从外伤性脑损伤的恢复|改善记忆和学习|治疗记忆障碍和慢性记忆障碍|调节脑神经可塑性|预防癫痫,迷走神经刺激|通过调节迷走神经的电活性来调节脑的预选部分的活性,449.0
US8489185B2,A61N1,电疗器械,美国,0,2009,定时控制|成对训练|神经刺激,中风|创伤后应激障碍|外伤性脑损伤|康复|提高成绩的训练|治疗|治疗耳鸣,大脑可塑性|迷走神经刺激影响皮层下区域,19.0
CN108379736A,A61N1,电疗器械,中国,1,2015,电压检测|电压比较|脉冲刺激|输出控制,医疗器械领域|激发和恢复某些具有生理功能的神经活动,刺激参数设置|神经元激活,0.0
US20070043401A1,A61N1,电疗器械,美国,0,2006,以差分方式增加、减少或以其它方式调制网络区域活动|使用脑网络建模的网络功能成像数据来启动/调整治疗|实现对与脑障碍相关联的一个或多个脑网络的治疗|链接规则在治疗的设置和随后的调整中进行指导,中枢神经系统疾病的治疗|脑障碍的治疗,电学或化学(相对)特性保持在特定的范围内|脑网络,115.0
US20080004660A1,A61N1,电疗器械,美国,0,2007,刺激激活和抑制脑中神经元|基于脑中天然存在的电和化学活性改变神经元的放电节律|建立通信,,神经元激活|通过反馈过程控制神经元的刺激,42.0
WO2018213872A1,A61B5,身体诊断测量,世界知识产权组织,0,2018,刺激施加第二到一个或多个所述至少一个电极植入脑中|施加第一的一个或多个的至少一个刺激电极植入脑中|检测高频振荡大约200Hz和大约500Hz之间由于神经元活动在一个或多个所述至少一个电极植入脑中的至少部分的过程中|生成包括多个突发脉冲串第二的第二刺激的刺激|确定这些HFO的一个或多个波形特性,,,26.0
WO2025083498A1,A61N1,电疗器械,世界知识产权组织,0,2024,与目标阈值进行比较|植入非血管内引线,神经刺激疗法试验,,0.0
US20090234419A1,A61N1,电疗器械,美国,0,2009,化学刺激|感测能力|电刺激|磁刺激|脑深部刺激|迷走神经刺激,癫痫治疗,增强症状缓解|神经元活动调节,150.0
US7555344B2,A61N1,电疗器械,美国,0,2005,优化治疗方案|化学刺激|感测能力|电刺激|磁刺激|脑深部刺激|迷走神经刺激,癫痫|神经刺激疗法,刺激脑的某些区域|神经元活动调节,34.0
WO2017143185A1,A61B5,身体诊断测量,世界知识产权组织,0,2017,传送电脉冲刺激|分析神经活动|无线神经刺激|检测神经活性|确定是否已经检测到事件,,,8.0
WO2021146774A1,A61N1,电疗器械,世界知识产权组织,0,2021,产生包括多个脉冲的治疗信号，所述多个脉冲中的至少两个脉冲由所述第一时间段分开|将探针信号施加到植入脑的目标神经结构中或其附近的电极|将治疗信号施加到植入目标神经结构中或其附近的电极或另一电极|检测由探针信号引起的来自目标神经结构的第一响应|确定所述探测信号的施加与所述响应的第一时间特征之间的第一时间段,,,2.0
WO2025264492A1,A61N1,电疗器械,世界知识产权组织,0,2025,感测脑电波信号|比较感测到的响应与期望目标响应|确定响应|调整刺激参数,神经刺激设备编程,脑电波信号反映对神经刺激的响应,0.0
US10596379B2,A61N1,电疗器械,美国,0,2016,基于具有饱和趋势的传递函数来控制刺激信号的至少一个参数|将该参数保持在预定的刺激范围内|感测脑电波信号|确定频带功率,,具有饱和趋势的传递函数|刺激参数设置,11.0
US2022152392A1,A61N1,电疗器械,美国,0,2020,分析第一子信号以获得固有频率序列|对脑电波信号进行分解|将固有频率序列和布尔信号作为一组刺激参数输出|将第二子信号转换为布尔信号,,,0.0
CN210843047U,A61B5,身体诊断测量,中国,1,2019,使电极头保持远离腔体的趋势|将电极头设成可相对腔体轴向移动|随受测者前额位置自动调节电极头与腔体的相对位置,脑电检测终端,电极位置调节,14.0
CN117398112A,A61B5,身体诊断测量,中国,1,2023,实时反馈|控制刺激参数|观察脑电活动变化|采集任务态的脑电数据|采集静息态的脑电数据,,,13.0
US8892208B2,A61N1,电疗器械,美国,0,2013,RF-DC转换|基于处理后的神经信号确定用于深部脑刺激的最佳刺激参数|处理信号|将信号编码和滤波到对数域|接收局部场电位神经信号|无线传输数据,,,22.0
US2018221620A1,A61N1,电疗器械,美国,0,2016,制定治疗方案|非侵入性刺激,治疗病症|调节中枢神经系统,感觉通路|脑网络,0.0
US10946165B2,A61N1,电疗器械,美国,0,2016,单独或组合使用|开发以期望方式修改神经振荡的治疗方案|非侵入性刺激,中枢神经系统|治疗病症|脑网络,感觉通路|脑网络,3.0
US9409030B2,A61N1,电疗器械,美国,0,2012,使用包含在所述输入信号中的电能产生一个或多个电脉冲|反馈信号|将反馈发送至偶极子天线|电辐射耦合接收输入信号,,电脉冲刺激|电辐射耦合,47.0
US20190091470A1,A61N1,电疗器械,美国,0,2018,分析反馈信号波形|反馈信号|基于所确定的参数来生成对应于所检测的反馈信号的激励信号,,,6.0
CN107995874A,A61N1,电疗器械,中国,1,2016,发送至体外便携处理装置|基于刺激控制信号生成刺激信号|感测信号|生成刺激控制信号,,,11.0
CN113101517B,A61N1,电疗器械,中国,1,2021,将顶柱插入嵌入槽以使顶板与底板接合|电极部件根据电场发生部件传输的交流信号产生交变电场,植入式电极装置|颅骨缺损区域,交变电场,1.0
WO2013011474A2,A61N1,电疗器械,世界知识产权组织,0,2012,产生三维电极阵列|刺激递送|处理各种活动的执行系统|将信号传递给其它部件|接收信号,,,13.0
US2018070847A1,A61B5,身体诊断测量,美国,0,2016,提取振荡活动电压幅度|施加神经刺激|检测神经元兴奋状态,神经反馈会话,相对较高的神经元兴奋状态对应于由提取器提取的相对较低的瞬时电压幅度,0.0
US2021031043A1,A61N1,电疗器械,美国,0,2020,检测神经反应属性,神经刺激系统,神经反应,0.0
US9248280B2,A61N1,电疗器械,美国,0,2007,在分析认知脑信号的基础上修改刺激参数|基于对所获取的生理信息的分析，刺激区域的轨迹相对于组织电子地移位|感知和分析认知脑信号|根据一个或多个刺激参数将电能输送到患者的组织|电极间传送电能|获取并分析来自患者的生理信息,组织内,刺激能量反馈,35.0
WO2026060925A1,A61N1,电疗器械,世界知识产权组织,0,2025,多频率电场协同配合|经颅交流电刺激|经颅近红外光照射,,经颅刺激|近红外光对多个疾病相关脑区进行全面且温和舒适的经颅物理治疗,0.0
