topic_code,F_sim,C_sim,P_sim
G06T11,0.5269390344619751,0.5000302791595459,0.37271663546562195
G06T12,0.0,0.0,0.0
G06T13,0.0,0.0,0.0
G06T17,0.5222286581993103,0.2943173050880432,0.5450878143310547
G06T19,0.0,0.0,0.0
G06T7,0.541401207447052,0.6368769407272339,0.5615590214729309
G06V10,0.5911214351654053,0.6371886730194092,0.5112906694412231
G06V20,0.0,0.0,0.0
G06V40,0.4983024001121521,0.4012913703918457,0.47010117769241333
G08B21,0.0,0.0,0.0
G08B23,0.0,0.0,0.0
G08C23,0.0,0.0,0.0
G09B1,0.0,0.0,0.0
G09B19,0.5989946722984314,0.5145206451416016,0.6193950176239014
G09B23,0.0,0.0,0.0
G09B5,0.5746103525161743,0.5686283111572266,0.5020036101341248
G09B7,0.0,0.0,0.0
G09B9,0.5703295469284058,0.4282981753349304,0.49334460496902466
G09G1,0.0,0.0,0.0
G09G5,0.0,0.0,0.0
G10L11,0.0,0.0,0.0
G10L13,0.0,0.0,0.0
G10L15,0.0,0.0,0.0
G10L25,0.55257248878479,0.3958779573440552,0.4556794762611389
G11B19,0.0,0.0,0.0
G16B45,0.0,0.0,0.0
G16H10,0.0,0.0,0.0
G16H20,0.5688903331756592,0.673989474773407,0.6146970391273499
G16H30,0.0,0.0,0.0
G16H40,0.0,0.0,0.0
G16H50,0.6254358291625977,0.6016741991043091,0.5864026546478271
G16Z99,0.0,0.0,0.0
H01R13,0.0,0.0,0.0
H01R35,0.0,0.0,0.0
H04H60,0.0,0.0,0.0
H04L12,0.0,0.0,0.0
H04L29,0.0,0.0,0.0
H04L67,0.0,0.0,0.0
H04M1,0.5825351476669312,0.35261034965515137,0.44396671652793884
H04N13,0.0,0.0,0.0
H04N17,0.0,0.0,0.0
H04N19,0.0,0.0,0.0
H04N21,0.6376665830612183,0.5670710802078247,0.593572735786438
H04N5,0.4350181818008423,0.3984466791152954,0.0
H04N7,0.0,0.0,0.0
H04R1,0.9201377630233765,0.7550089955329895,0.8387895226478577
H04R23,0.0,0.0,0.0
H04R25,0.5362586975097656,0.8177129030227661,0.6681461930274963
H04R29,0.0,0.0,0.0
H04R3,0.0,0.0,0.0
H04S1,0.0,0.0,0.0
H04W12,0.0,0.0,0.0
H04W4,0.41625964641571045,0.7399901151657104,0.45386964082717896
H05B37,0.0,0.0,0.0
H10P14,0.0,0.0,0.0
