主题码,主题名,n_国内,n_国外,F_AB,C_AB,H_AB,S_AB,F_J,C_J,H_J,g_A,g_B,G_AB,p_A初期,p_A末期,p_B初期,p_B末期,Δp_A,Δp_B,T_AB,M_AB,K_B,A_B,V_B,R_AB,标记,风险排名
A61H23,振动按摩器,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.2709155854258521,0.6322382918337158,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.566119145916858,1.0,0.0,1.0,0.26101985765280966,样本不足;未达标,21.0
A61H3,助行器具,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09902102579427785,0.5493493254963752,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5246746627481875,1.0,,,,样本不足;未达标;无高价值专利,
A61H99,理疗其他器械,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09902102579427785,0.5493493254963752,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5246746627481875,1.0,,,,样本不足;未达标;无高价值专利,
A61M16,呼吸通气装置,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09902102579427792,0.5493493254963753,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5246746627481876,1.0,0.0,1.0,0.25411244379136455,样本不足;未达标,35.0
A61M21,精神治疗装置,14,24,0.6467920541763306,0.6467734575271606,0.3687450885772705,0.5541035334269205,0.0,0.041666666666666664,1.0,0.5404436975198631,0.6926356072647127,0.5755138265932046,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5377569132966022,0.7639593908629442,0.0,0.881979695431472,0.39334053571588967,,10.0
A61M27,引流装置,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
A61M37,药物导入装置,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.2511113802669965,0.6229815458180177,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5614907729090088,1.0,0.0,1.0,0.26024846215150144,样本不足;未达标,23.0
A61N1,电疗器械,75,441,0.7387677431106567,0.7726948261260986,0.300856351852417,0.604106307029724,0.019776440240756664,0.027842227378190254,0.9754253308128544,0.934601875326243,0.6451240836643104,0.35917294931915594,0.0,0.0,0.04504504504504504,0.0,0.0,-0.04504504504504504,0.47749269827783086,0.4183328237984934,0.9831336609065312,0.012195121951219513,0.9854692694776559,0.42402284918482536,,6.0
A61N2,磁疗器械,4,20,0.6166909337043762,0.6284937858581543,0.4140843152999878,0.5530896782875061,0.0,0.0,1.0,0.2893323172528667,0.6099435630924238,0.6550297542158668,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5775148771079335,0.9541984732824428,0.0,0.9770992366412214,0.42992051001736825,,2.0
A61N5,放射治疗,1,8,0.6695383787155151,0.515390157699585,0.3967016935348511,0.5272100766499836,0.043478260869565216,0.0,1.0,0.09902102579427785,0.29340740512868096,0.5959872310546415,0.0,0.0,0.009009009009009009,0.0,0.0,-0.009009009009009009,0.49549561735676945,0.5457414242057055,0.9963369963369964,0.0,0.9981684981684982,0.40698243425778713,样本不足,8.0
A61N7,超声治疗,0,6,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.47117495754516053,0.7195740848296363,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6097870424148182,1.0,0.0,1.0,0.2682978404024697,样本不足;未达标,16.0
A63B22,健身训练器械,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.15694461266687276,0.5778342919397081,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5389171459698541,1.0,,,,样本不足;未达标;无高价值专利,
A63B71,运动辅助用品,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
A63F13,视频游戏,1,2,0.5150381922721863,0.4157024025917053,1.0,0.6435801982879639,0.0,0.0,1.0,0.1584336412708446,0.15694461266687276,0.4992554862482609,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.49962774312413044,0.75,,,,样本不足;未达标;无高价值专利,
A63F9,桌面游戏,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,0.0,1.0,0.25654671631280374,样本不足;未达标,34.0
A66N1,未知分类,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09902102579427792,0.5493493254963753,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5246746627481876,1.0,0.0,1.0,0.25411244379136455,样本不足;未达标,36.0
B25J13,机械手控制,1,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.1584336412708446,0.0,0.4214394042463551,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4607197021231776,0.0,,,,样本不足;未达标;无高价值专利,
B29L31,塑料制品,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
B60K35,车辆仪表显示,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.17823784642970017,0.5881870317622027,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5440935158811013,1.0,,,,样本不足;未达标;无高价值专利,
B60W20,混合动力控制,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09902102579427785,0.5493493254963752,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5246746627481875,1.0,,,,样本不足;未达标;无高价值专利,
B60W50,车辆控制诊断,0,3,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.3168672825416892,0.6533357805404173,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5766678902702087,1.0,,,,样本不足;未达标;无高价值专利,
B64C39,飞行器结构,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
B81B7,微机械系统,1,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.17823784642970017,0.0,0.41181296823779734,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.45590648411889867,0.0,,,,样本不足;未达标;无高价值专利,
B81C1,微结构制造,3,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.2574546670651225,0.0,0.37404337003779076,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4370216850188954,0.0,,,,样本不足;未达标;无高价值专利,
C12M3,组织培养装置,1,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.09902102579427785,0.0,0.4506506745036248,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.47532533725181236,0.0,,,,样本不足;未达标;无高价值专利,
G01C21,导航定位测量,1,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.09902102579427785,0.0,0.4506506745036248,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.47532533725181236,0.0,,,,样本不足;未达标;无高价值专利,
G01N27,电化学检测,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.17823784642970017,0.5881870317622027,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5440935158811013,1.0,,,,样本不足;未达标;无高价值专利,
G01N33,生物材料分析,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.19169876479042974,0.594692283702177,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5473461418510885,1.0,0.0,1.0,0.25789102364184807,样本不足;未达标,28.0
G01R33,磁共振测量,0,7,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.4664038209819881,0.7176445478568854,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6088222739284427,1.0,,,,样本不足;未达标;无高价值专利,
G02B27,光学元件系统,1,7,0.5326160192489624,0.490098625421524,0.3568229675292969,0.459845870733261,0.0,0.0,1.0,0.1584336412708446,0.49510512897138936,0.662251302701561,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5811256513507805,0.8857142857142857,,,,样本不足;未达标;无高价值专利,
G02B5,光学滤光片,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
G05B13,自适应控制,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
G05B19,程序控制系统,1,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.09902102579427785,0.0,0.4506506745036248,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.47532533725181236,0.0,,,,样本不足;未达标;无高价值专利,
G06F1,计算机电源,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
G06F123,计算机接口,1,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.09902102579427785,0.0,0.4506506745036248,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.47532533725181236,0.0,,,,样本不足;未达标;无高价值专利,
G06F15,数字计算机,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09267773899615182,0.5462066530252184,0.0,0.0,0.009009009009009009,0.0,0.0,-0.009009009009009009,0.49549561735676945,0.5208511351909939,1.0,0.0,1.0,0.253475189198499,样本不足;未达标,37.0
G06F16,信息检索,3,1,0.4971292018890381,0.5252503752708435,0.5556530952453613,0.5260108908017476,0.0,0.0,1.0,0.2922088191886794,0.1584336412708446,0.4335085776607024,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4667542888303512,0.1111111111111111,,,,样本不足;未达标;无高价值专利,
G06F17,数据处理,2,15,0.6184237003326416,0.664300799369812,0.34677183628082275,0.5431654453277588,0.0,0.1111111111111111,1.0,0.26269609764151547,0.6476062169628556,0.6834820064620534,0.0,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.517234548877195,0.6003582776696241,0.956140350877193,0.0,0.9780701754385965,0.4286738968252661,样本不足,3.0
G06F18,模式识别,23,6,0.5947951078414917,0.6681874990463257,0.4352675676345825,0.5660833915074666,0.0,0.03571428571428571,1.0,0.5481744576498301,0.3968123951038925,0.4248916835972642,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.46244584179863213,0.11475409836065574,,,,未达标;无高价值专利,
G06F19,医疗信息处理,4,7,0.5685944557189941,0.5252189636230469,0.48258697986602783,0.525466799736023,0.0,0.0,1.0,0.3678715228420799,0.4912899463249744,0.5613977886121578,0.0,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.517234548877195,0.5393161687446764,0.7906137184115524,0.0,0.8953068592057762,0.37692338566236366,未达标,11.0
G06F21,安全防护,1,5,0.5097203850746155,0.4987403154373169,0.463525652885437,0.4906621177991231,0.0,0.0,1.0,0.09902102579427785,0.4055021769014497,0.6486162467589098,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5743081233794549,0.875,,,,样本不足;未达标;无高价值专利,
G06F3,输入输出装置,84,185,0.7542516589164734,0.7384825348854065,0.2689030170440674,0.5872124036153157,0.03543307086614173,0.06666666666666667,0.9631901840490797,0.9778464871513954,0.9584116216049946,0.49028379051210946,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.49514189525605473,0.56738768718802,0.3333333333333333,0.6170271769273433,0.32653973705171435,未达标,15.0
G06F9,程序控制,1,1,0.5059263706207275,0.4028235077857971,0.6016589403152466,0.5034696062405903,0.0,0.0,1.0,0.09902102579427785,0.1584336412708446,0.529671403994872,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.514835701997436,0.8571428571428571,,,,样本不足;未达标;无高价值专利,
G06G7,模拟计算机,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
G06K11,数据识别,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.21635722814343952,0.6065216689022989,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5532608344511494,1.0,,,,样本不足;未达标;无高价值专利,
G06K9,图像识别,29,10,0.595378041267395,0.6635186672210693,0.40820205211639404,0.5556995868682861,0.006329113924050633,0.05555555555555555,1.0,0.7624665974152198,0.5713098266183456,0.4055690203729693,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4527845101864847,0.05704697986577181,,,,未达标;无高价值专利,
G06N20,机器学习,1,4,0.5271953344345093,0.4978822469711303,0.5294731557369232,0.5181835790475209,0.0,0.0,1.0,0.09902102579427785,0.3240864693764237,0.610670353094581,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5553351765472905,0.875,,,,样本不足;未达标;无高价值专利,
G06N3,神经网络,11,21,0.6483262777328491,0.6421566009521484,0.4421904683113098,0.5775577823321024,0.016260162601626018,0.021739130434782608,1.0,0.4491534318555522,0.6471113738624767,0.5977060130697569,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5488530065348785,0.7692307692307693,,,,无高价值专利,
G06N5,知识推理,3,4,0.567297101020813,0.5951420068740845,0.5131587386131287,0.5585326155026753,0.0,0.0,1.0,0.1980420515885557,0.3883533430471446,0.5940232535832743,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5470116267916372,0.9,,,,未达标;无高价值专利,
G06N99,人工智能其他,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09902102579427785,0.5493493254963752,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5246746627481875,1.0,,,,样本不足;未达标;无高价值专利,
G06Q10,管理资源系统,3,3,0.7767337560653687,0.7236705422401428,0.14424753189086914,0.5482172767321268,0.21739130434782608,0.2,0.5,0.3168672825416892,0.3168672825416892,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8944099378881988,0.0,0.9472049689440993,0.3966913834738682,未达标,9.0
G06Q30,商业交易系统,10,28,0.6137820482254028,0.7239738702774048,0.37716639041900635,0.5716407696406046,0.0,0.05263157894736842,0.9555555555555556,0.50031249376726,0.776456424905383,0.6346662294697487,0.0,0.0,0.0,0.3448275862068966,0.0,0.3448275862068966,0.6658902137487714,0.6502782216092601,0.9355390758699372,0.0,0.9677695379349687,0.4624710332905594,,1.0
G06Q50,行业管理系统,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.2511113802669965,0.6229815458180177,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5614907729090088,1.0,,,,样本不足;未达标;无高价值专利,
G06Q99,商业其他系统,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.17823784642970017,0.5881870317622027,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5440935158811013,1.0,0.0,1.0,0.2573489193135169,样本不足;未达标,29.0
G06T1,图像处理基础,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
G06T11,图像生成,6,1,0.5269390344619751,0.5000302791595459,0.627283364534378,0.5514175593852997,0.0,0.0,1.0,0.3721539317508825,0.09902102579427785,0.36673120232531586,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.43336560116265793,0.07142857142857142,,,,样本不足;未达标;无高价值专利,
G06T12,图像变换,1,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.09902102579427785,0.0,0.4506506745036248,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.47532533725181236,0.0,,,,样本不足;未达标;无高价值专利,
G06T13,动画制作,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
G06T17,三维建模,1,2,0.5222286581993103,0.2943173050880432,0.4549121856689453,0.4238193829854329,0.0,0.0,1.0,0.1584336412708446,0.15694461266687276,0.4992554862482609,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.49962774312413044,0.6666666666666666,,,,样本不足;未达标;无高价值专利,
G06T19,增强现实,0,4,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.2893323172528667,0.6407600809048851,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5703800404524426,1.0,,,,样本不足;未达标;无高价值专利,
G06T7,图像分析,8,7,0.541401207447052,0.6368769407272339,0.4384409785270691,0.5389063755671183,0.0,0.0,1.0,0.45251866144573466,0.514909334130245,0.5311549223197243,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5155774611598621,0.5434782608695652,,,,未达标;无高价值专利,
G06V10,图像特征提取,6,4,0.5911214351654053,0.6371886730194092,0.48870933055877686,0.5723398129145304,0.0,0.125,1.0,0.2779871641507589,0.3240864693764237,0.5230333385220478,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5115166692610239,0.12903225806451613,,,,未达标;无高价值专利,
G06V20,场景理解,1,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.09902102579427785,0.0,0.4506506745036248,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.47532533725181236,0.0,,,,样本不足;未达标;无高价值专利,
G06V40,生物识别,2,4,0.4983024001121521,0.4012913703918457,0.5298988223075867,0.4764975309371948,0.0,0.0,1.0,0.15694461266687276,0.34874493272943347,0.5947412391796998,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5473706195898499,0.3333333333333333,,,,样本不足;未达标;无高价值专利,
G08B21,状态报警器,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.21635722814343952,0.6065216689022989,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5532608344511494,1.0,,,,样本不足;未达标;无高价值专利,
G08B23,特定报警器,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.17823784642970017,0.5881870317622027,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5440935158811013,1.0,,,,样本不足;未达标;无高价值专利,
G08C23,红外遥控,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.2511113802669965,0.6229815458180177,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5614907729090088,1.0,,,,样本不足;未达标;无高价值专利,
G09B1,教学器具,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09902102579427785,0.5493493254963752,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5246746627481875,1.0,,,,样本不足;未达标;无高价值专利,
G09B19,教学科目,2,8,0.5989946722984314,0.5145206451416016,0.38060498237609863,0.4980400999387105,0.0,0.0,0.9230769230769231,0.2709155854258521,0.36508235302597564,0.5469447069057599,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.52347235345288,0.9457364341085271,0.0,0.9728682170542635,0.37261880363886246,样本不足;未达标,12.0
G09B23,科学教学模型,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,0.0,1.0,0.25654671631280374,样本不足;未达标,31.0
G09B5,视听教学,1,6,0.5746103525161743,0.5686283111572266,0.49799638986587524,0.5470783511797587,0.0,0.0,1.0,0.09902102579427785,0.3572039847861813,0.6262976044993153,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5631488022496576,0.9523809523809523,,,,样本不足;未达标;无高价值专利,
