pub,主题码,主题名,标题_中文,country,year
CN116027890B,C0,脑电情绪识别分析,一种基于脑电信号的在线注意力检测系统及检测方法,中国,2022
CN116522280B,C0,脑电情绪识别分析,基于虚拟现实仿真采集的情绪分级识别方法及系统,中国,2023
CN116746929A,C0,脑电情绪识别分析,一种基于混合增强和时序对比学习的脑电情绪识别方法,中国,2023
CN116978542A,C0,脑电情绪识别分析,利用有向脑网络研究情绪效价影响认知脑机制的方法,中国,2023
CN117093877A,C0,脑电情绪识别分析,基于脑电信号的跨个体情绪识别方法、装置、设备及介质,中国,2023
CN117503157A,C0,脑电情绪识别分析,一种基于SGCRNN模型的脑电信号情绪识别方法,中国,2023
CN118436347A,C0,脑电情绪识别分析,基于自适应数据结构优化的脑电信号情绪识别系统,中国,2024
CN119454026A,C0,脑电情绪识别分析,一种多模态情绪分析方法及系统,中国,2024
CN120000238B,C0,脑电情绪识别分析,一种基于脑电信号的神经反应数据监测系统及方法,中国,2025
CN120324785A,C0,脑电情绪识别分析,基于迷走神经电刺激的脑卒中上肢动态康复方法与系统,中国,2025
CN120928949A,C0,脑电情绪识别分析,一种基于脑电信号的个性化数据收集方法、收集系统、存储介质及电子设备,中国,2025
CN120973228A,C0,脑电情绪识别分析,-,中国,2025
CN121996066A,C0,脑电情绪识别分析,-,中国,2026
EP2613222B1,C0,脑电情绪识别分析,基于脑波分析确定用户决策的装置和方法,欧洲专利局,2011
EP4351422A1,C0,脑电情绪识别分析,用于脑机接口的无线软头皮电子设备和虚拟现实系统,欧洲专利局,2022
EP4351422A4,C0,脑电情绪识别分析,用于脑机接口的无线软头皮电子设备和虚拟现实系统,欧洲专利局,2022
EP4650916A1,C0,脑电情绪识别分析,用于提供分析脑电图数据以用于提供脑机接口的神经网络的方法,欧洲专利局,2024
FR3048867A1,C0,脑电情绪识别分析,一种改进的神经内科反馈装置,法国,2016
IN2015MN02988A,C0,脑电情绪识别分析,对视觉刺激的EEG信号进行分类,印度,2015
IN202521116153A,C0,脑电情绪识别分析,利用脑电图和面部表情分析实现实时多模态情绪识别的系统和方法,印度,2025
IN202521132671A,C0,脑电情绪识别分析,基于脑电图（EEG）的多类别与多标签情绪识别系统及方法,印度,2025
IN202541071201A,C0,脑电情绪识别分析,基于无参考学习过程的脑电图信号测量中自适应伪迹消除方法,印度,2025
IN499659A1,C0,脑电情绪识别分析,响应于视觉刺激对EEG信号进行分类,印度,2015
KR101618275B1,C0,脑电情绪识别分析,方法和系统用于分析EEG响应视频媒体立面的刺激,韩国,2014
KR101648120B1,C0,脑电情绪识别分析,用于情绪调节训练的基于脑电图的神经反馈方法和装置,韩国,2014
KR1020240024856A,C0,脑电情绪识别分析,用于脑到设备接口的无线软头皮电子设备和虚拟现实系统,韩国,2022
KR102247100B1,C0,脑电情绪识别分析,基于多变量多尺度模糊熵分析的脑电记录情感识别方法,韩国,2019
KR102670028B1,C0,脑电情绪识别分析,确定大脑活动的方法以及执行所述方法的电子设备,韩国,2022
KR102817177B1,C0,脑电情绪识别分析,基于稳态视觉诱发磁场中同步指数的目标分类系统及方法,韩国,2024
KR20160047746A,C0,脑电情绪识别分析,用于分析EEG对视频刺激的响应的方法和系统，用于媒体立面,韩国,2014
KR20180113511A,C0,脑电情绪识别分析,用于神经学监测和辅助诊断的系统和方法,韩国,2016
KR20190130808A,C0,脑电情绪识别分析,利用脑电图和面部特征融合的情感分类设备和方法,韩国,2018
KR20200042372A,C0,脑电情绪识别分析,利用内感受相关脑电波确定情绪的方法与装置,韩国,2019
KR20200054069A,C0,脑电情绪识别分析,具有对抗学习的脑机接口方法和装置,韩国,2019
KR20220011573A,C0,脑电情绪识别分析,创建标准化脑电图图像以学习人工智能模型的方法、装置和计算机程序,韩国,2021
KR20230120957A,C0,脑电情绪识别分析,确定大脑活动的方法以及执行所述方法的电子设备,韩国,2022
KR20240024856A,C0,脑电情绪识别分析,用于脑机接口的无线柔性头皮电子器件及虚拟现实系统,韩国,2022
RU2467384C1,C0,脑电情绪识别分析,分析脑电图的方法,俄罗斯,2011
RU2759310C1,C0,脑电情绪识别分析,用于机器人设备的仿生控制方法和系统,俄罗斯,2020
US10456054B2,C0,脑电情绪识别分析,脑电图触发的资源分配查询系统,美国,2017
US11043210B2,C0,脑电情绪识别分析,利用脑电图信号的声音处理装置,美国,2019
US12193827B1,C0,脑电情绪识别分析,基于脑电图(EEG)分析对患有脑障碍的患者进行分类的方法和设备,美国,2023
US12236014B2,C0,脑电情绪识别分析,用于脑机接口的无线软头皮电子设备和虚拟现实系统,美国,2022
US20020183644A1,C0,脑电情绪识别分析,对人的警觉性进行量化的方法,美国,2002
US20050177058A1,C0,脑电情绪识别分析,分析一人或多人的脑电波模式以确定响应一组共同刺激的相似性，作出艺术表现和诊断的系统和方法,美国,2005
US20080226255A1,C0,脑电情绪识别分析,使多摄像机视频和音频记录与家庭、办公室或医院环境中的长期动态脑电图(EEG)同步的概念和相关设备,美国,2008
US2016113545A1,C0,脑电情绪识别分析,用于分析对媒体立面图像刺激的脑电图反应的系统和方法,美国,2015
US2017340262A1,C0,脑电情绪识别分析,脑疾病诊断辅助系统、脑疾病诊断辅助方法及程序,美国,2015
US2019175040A1,C0,脑电情绪识别分析,在植入式医疗设备中使用相位-幅度耦合测量的系统、设备和方法,美国,2017
US2020005770A1,C0,脑电情绪识别分析,声音处理设备,美国,2019
US20200228859A1,C0,脑电情绪识别分析,视频推荐系统及视频推荐方法,美国,2020
US2021259615A1,C0,脑电情绪识别分析,韧性训练,美国,2021
US20220079527A1,C0,脑电情绪识别分析,提供用于去噪神经信号的统一框架的系统和方法,美国,2020
US20220273210A1,C0,脑电情绪识别分析,确定偏好的方法和使用该方法确定偏好的装置,美国,2020
US2023248317A1,C0,脑电情绪识别分析,确定脑活动的方法及执行该方法的电子设备,美国,2022
US2024427418A1,C0,脑电情绪识别分析,用于脑机接口的无线柔性头皮电子设备和虚拟现实系统,美国,2022
US20250000426A1,C0,脑电情绪识别分析,基于脑电图(EEG)分析对患有脑障碍的患者进行分类的方法和设备,美国,2023
US2025224805A1,C0,脑电情绪识别分析,处理脑电图信号的方法和装置、计算机可读介质及计算机设备,美国,2025
US3760796A,C0,脑电情绪识别分析,一种脑波信号自动分析方法及装置,美国,1971
US5363858A,C0,脑电情绪识别分析,用于多面脑电图响应分析(MERA)的方法和装置,美国,1993
US6292688B1,C0,脑电情绪识别分析,分析对情绪诱导刺激的神经响应的方法和装置,美国,1996
US7299088B1,C0,脑电情绪识别分析,用于脑节律分析的装置和方法,美国,2003
US8244475B2,C0,脑电情绪识别分析,将人类神经反应与计算机模式分析相结合，用于对任务相关刺激的显著脑反应的单事件检测,美国,2007
US9326720B2,C0,脑电情绪识别分析,无线植入式脑电图系统,美国,2012
WO2017158273A1,C0,脑电情绪识别分析,一种改进的神经内科反馈装置,世界知识产权组织,2017
WO2020100144A1,C0,脑电情绪识别分析,韧性训练,世界知识产权组织,2019
WO2021086218A1,C0,脑电情绪识别分析,基于脑电图信号对物体进行分类的方法,世界知识产权组织,2019
WO2022251696A1,C0,脑电情绪识别分析,用于脑机接口的无线软头皮电子设备和虚拟现实系统,世界知识产权组织,2022
WO2023082406A1,C0,脑电情绪识别分析,基于联邦学习的脑电信号分类模型训练方法及装置,世界知识产权组织,2021
CN107544675A,C1,脑电特征提取分类,脑控式虚拟现实方法,中国,2017
CN109241879A,C1,脑电特征提取分类,基于加权复合多尺度模糊熵的运动想象脑电信号的特征提取方法,中国,2018
CN109241879B,C1,脑电特征提取分类,基于加权复合多尺度模糊熵的运动想象脑电信号的特征提取方法,中国,2018
CN109726751A,C1,脑电特征提取分类,-,中国,2018
CN110495881A,C1,脑电特征提取分类,一种运动方向的预测方法、装置、设备和存储介质,中国,2019
CN111528836A,C1,脑电特征提取分类,基于动态定向传递函数的脑功能网络特征提取方法,中国,2020
CN111528836B,C1,脑电特征提取分类,基于动态定向传递函数的脑功能网络特征提取方法,中国,2020
CN111832416A,C1,脑电特征提取分类,一种基于增强卷积神经网络的运动想象脑电信号识别方法,中国,2020
CN111832416B,C1,脑电特征提取分类,一种基于增强卷积神经网络的运动想象脑电信号识别方法,中国,2020
CN114169366A,C1,脑电特征提取分类,神经反馈训练系统和方法,中国,2021
CN115562491A,C1,脑电特征提取分类,-,中国,2022
CN115562491B,C1,脑电特征提取分类,基于差异动作的多阶段任务个性化运动想象的方法,中国,2022
CN116584954A,C1,脑电特征提取分类,脑电图的可视化方法、控制装置、存储介质及可视化系统,中国,2023
CN119669857A,C1,脑电特征提取分类,基于多视图特征的运动想象分类方法、装置、设备及存储介质,中国,2024
CN122066822A,C1,脑电特征提取分类,-,中国,2026
EP3535644A1,C1,脑电特征提取分类,流式传输虚拟现实视频,欧洲专利局,2017
IN202431034971A,C1,脑电特征提取分类,面向运动功能障碍人群的低成本、用户友好且高效的免手持/免触控脑控文本输入系统,印度,2024
KR100943396B1,C1,脑电特征提取分类,使用脑电图的运动想象训练装置及其方法,韩国,2009
KR1020140009635A,C1,脑电特征提取分类,使用PSOerd\/ERS特征提取,韩国,2012
KR1020190062285A,C1,脑电特征提取分类,使用公共空间模式基于局部信道区域分析来分类运动图像的设备和方法,韩国,2018
KR1020220051613A,C1,脑电特征提取分类,使用用于基于EEG的运动图像BCI的LP范数形成稳健公共空间模式的方法,韩国,2020
KR1020220153148A,C1,脑电特征提取分类,用于基于方差分析来分析神经信号的设备和方法,韩国,2021
KR102146973B1,C1,脑电特征提取分类,利用人工神经网络学习用户操作意图的装置和方法,韩国,2018
KR20190062285A,C1,脑电特征提取分类,基于共同空间模式的局部通道区域分析的运动想象分类装置和方法,韩国,2018
KR20190067635A,C1,脑电特征提取分类,利用通道间脑电图相关性和旋转矩阵的运动想象分类装置及其方法,韩国,2017
KR20220098533A,C1,脑电特征提取分类,基于言语想象的耳脑电图脑机接口数据采集方法及其系统,韩国,2021
KR20220165941A,C1,脑电特征提取分类,使用协方差去中心化的特征脸脑电图信号分类方法及使用该方法的脑电图信号分类装置,韩国,2021
US2015018705A1,C1,脑电特征提取分类,神经分析与治疗系统,美国,2014
US2016242699A1,C1,脑电特征提取分类,用于评估用户对应于刺激的认知负荷的系统和方法,美国,2014
US20170228512A1,C1,脑电特征提取分类,基于实时脑电图的触发反应,美国,2016
US2018116514A1,C1,脑电特征提取分类,带有入耳电极的耳塞,美国,2017
US2022015659A1,C1,脑电特征提取分类,使用神经网络处理脑电图数据的时频表示,美国,2020
US2025213171A1,C1,脑电特征提取分类,使用大脑特征确定对象属性及其应用,美国,2024
WO2018083211A1,C1,脑电特征提取分类,流式传输虚拟现实视频,世界知识产权组织,2017
WO2025237848A1,C1,脑电特征提取分类,用于提供分析脑电图数据以用于脑机接口的神经网络的方法,世界知识产权组织,2025
AU2020102578A4,C2,柔性电极采集装置,一种低接触阻抗的柔性干电极及其制备方法,澳大利亚,2020
CA2428116A1,C2,柔性电极采集装置,检测神经功能障碍,加拿大,2001
CN101006920A,C2,柔性电极采集装置,一种三维植入式微电极阵列的制作方法,中国,2007
CN101973508A,C2,柔性电极采集装置,基于柔性衬底MEMS技术的脑电图干电极阵列及其制备方法,中国,2010
CN102336386A,C2,柔性电极采集装置,一种三维实体针尖柔性微电极阵列及其制作方法,中国,2011
CN104799853A,C2,柔性电极采集装置,用于脑电信号记录的韧性爪式干电极及制备方法,中国,2015
CN107411735A,C2,柔性电极采集装置,一种生物电信号柔性干式电极及其制备方法,中国,2017
CN107595283A,C2,柔性电极采集装置,分离式脑电干电极,中国,2017
CN108744268A,C2,柔性电极采集装置,柔性透明碳纳米管神经电极阵列在神经光电界面中的应用,中国,2018
CN108968955A,C2,柔性电极采集装置,一种基于光学晶体的头盔式脑电帽,中国,2018
CN109893129A,C2,柔性电极采集装置,一种利用气囊调节深度的干电极及穿戴式脑电检测装置,中国,2019
CN109893129B,C2,柔性电极采集装置,一种利用气囊调节深度的干电极及穿戴式脑电检测装置,中国,2019
CN110368577A,C2,柔性电极采集装置,可编程柔性经颅电刺激与脑电采集一体系统,中国,2019
CN111938633A,C2,柔性电极采集装置,一种基于脑功能分区的柔性可拆分头皮脑电极的制备方法及其结构,中国,2020
CN111938633B,C2,柔性电极采集装置,一种基于脑功能分区的柔性可拆分头皮脑电极的制备方法及其结构,中国,2020
CN111939472A,C2,柔性电极采集装置,一种颅内刺激记录系统及其制备方法,中国,2020
CN113057639A,C2,柔性电极采集装置,柔性脑电极及其制备方法,中国,2021
CN113057639B,C2,柔性电极采集装置,柔性脑电极及其制备方法,中国,2021
CN113545784A,C2,柔性电极采集装置,干电极以及电阻测量装置,中国,2021
CN113974637A,C2,柔性电极采集装置,高度舒适的新型弹性脑电干电极、脑电设备及应用系统,中国,2021
CN113974637B,C2,柔性电极采集装置,高度舒适的新型弹性脑电干电极、脑电设备及应用系统,中国,2021
CN114010197A,C2,柔性电极采集装置,一种基于空间树状网络结构的干湿混合脑电电极,中国,2021
CN114176608A,C2,柔性电极采集装置,一种干电极脑电采集模组及脑电采集系统,中国,2021
CN114176608B,C2,柔性电极采集装置,一种干电极脑电采集模组及脑电采集系统,中国,2021
CN114469114A,C2,柔性电极采集装置,一种自动定位的脑电图电极安放系统及工作方法,中国,2022
CN114642436A,C2,柔性电极采集装置,一种柔性神经电极封装结构、制备方法及设备,中国,2022
CN115299961A,C2,柔性电极采集装置,脑电信号采集装置,中国,2022
CN116077829B,C2,柔性电极采集装置,植入装置和电刺激器以及电极电镀方法,中国,2023
CN116747429A,C2,柔性电极采集装置,-,中国,2023
CN116747429B,C2,柔性电极采集装置,一种用于听觉脑机接口的电极阵列,中国,2023
CN118177835A,C2,柔性电极采集装置,一种基于脑电信号的疲劳程度预测方法及系统,中国,2024
CN118592963B,C2,柔性电极采集装置,一种ECoG电极及其制备方法,中国,2024
CN118787367A,C2,柔性电极采集装置,一种头皮脑电图体表定位头盔,中国,2024
CN118787367B,C2,柔性电极采集装置,一种头皮脑电图体表定位头盔,中国,2024
CN119970047A,C2,柔性电极采集装置,-,中国,2025
CN120066269A,C2,柔性电极采集装置,-,中国,2025
CN120203592A,C2,柔性电极采集装置,-,中国,2025
CN120392104A,C2,柔性电极采集装置,脑电电极,中国,2025
CN120549502A,C2,柔性电极采集装置,-,中国,2025
CN120549502B,C2,柔性电极采集装置,一种颅内电极承载支架,中国,2025
CN120616550A,C2,柔性电极采集装置,-,中国,2025
CN120616550B,C2,柔性电极采集装置,-,中国,2025
CN122004879A,C2,柔性电极采集装置,-,中国,2026
CN122075001A,C2,柔性电极采集装置,-,中国,2026
CN222444132U,C2,柔性电极采集装置,一种用于植入式脑机接口的电极组件及装置,中国,2024
CN223169743U,C2,柔性电极采集装置,微电极阵列,中国,2021
CN85100554A,C2,柔性电极采集装置,一种新型脑电图测量电极,中国,1985
CZ20090411A3,C2,柔性电极采集装置,脑机接口与用户的自动识别,其他,2009
EP1534125A2,C2,柔性电极采集装置,脑机接口系统和方法,欧洲专利局,2003
EP4364791A3,C2,柔性电极采集装置,用于电刺激的电极组件和用于制造电极组件的方法,欧洲专利局,2019
EP4523731A1,C2,柔性电极采集装置,神经接口以及包含该神经接口的闭环解码与神经调控/神经刺激系统,欧洲专利局,2023
IT201900007407A1,C2,柔性电极采集装置,用于测量生物电信号的干电极及相关装置,其他,2019
JP2002529132A,C2,柔性电极采集装置,电极和电极装置适于功能作为一种磁共振成像装置和方法。,日本,1999
JP2002529132A5,C2,柔性电极采集装置,电极和电极装置适于功能作为一种磁共振成像装置和方法。,日本,1999
JP2010279452A,C2,柔性电极采集装置,生物电极，用于测量脑波,日本,2009
JP2011120866A,C2,柔性电极采集装置,脑波测量电极，帽与脑波测量电极和脑波测量装置。,日本,2010
JP2016501049A,C2,柔性电极采集装置,电极测量方法和实现该方法的装置,日本,2013
JP5277405B2,C2,柔性电极采集装置,测量电极，盖与测量电极与脑电图测量的装置,日本,2010
KR101748133B1,C2,柔性电极采集装置,反映头部曲率的反向曲线拱形干电极用于多通道脑电图,韩国,2015
KR102397139B1,C2,柔性电极采集装置,使用导电树脂的脑电测量头模块,韩国,2022
KR20170051699A,C2,柔性电极采集装置,使用干电极的脑电图检测装置,韩国,2015
KR20200009940A,C2,柔性电极采集装置,用于记录脑电图的基于膜的半干电极,韩国,2018
US10434302B2,C2,柔性电极采集装置,具有定位特征的定向电极装置,美国,2015
US10674930B2,C2,柔性电极采集装置,单单元无引线EEG传感器,美国,2016
US10688298B2,C2,柔性电极采集装置,植入式电极及其制造方法,美国,2017
US10987015B2,C2,柔性电极采集装置,用于脑电图检查的干电极,美国,2009
US11311229B2,C2,柔性电极采集装置,用于记录脑电图的膜基半干式电极,美国,2018
US11647936B2,C2,柔性电极采集装置,脑电图电极,美国,2016
US12023164B2,C2,柔性电极采集装置,具有传输能力的脑电图头盔,美国,2020
US12186087B2,C2,柔性电极采集装置,具有传输能力的脑电图头盔,美国,2024
US12193824B2,C2,柔性电极采集装置,用于从干脑电图电极获得信号的方法和系统,美国,2018
US12201841B2,C2,柔性电极采集装置,植入系统和方法,美国,2021
US12251557B2,C2,柔性电极采集装置,可植入电极装置和形成可植入电极装置的方法,美国,2021
US12491359B2,C2,柔性电极采集装置,电极组件的电极体和用于电刺激的电极组件以及用于制造电极组件的方法,美国,2023
US12611132B2,C2,柔性电极采集装置,以高空间和时间分辨率实时可视化大脑活动的系统和方法,美国,2024
US20060149160A1,C2,柔性电极采集装置,使用小电极组对脑活动进行EEG成像的系统和方法,美国,2005
US20070255127A1,C2,柔性电极采集装置,一种移动式脑电图数据采集诊断系统,美国,2007
US20080288037A1,C2,柔性电极采集装置,柔性电路电极阵列,美国,2007
US20090221896A1,C2,柔性电极采集装置,用于大脑和数据处理设备之间数据传输的探头,美国,2007
US20110015503A1,C2,柔性电极采集装置,一种采集病人脑电图数据的医疗装置,美国,2010
US20140288406A1,C2,柔性电极采集装置,线接触干电极,美国,2013
US20150148869A1,C2,柔性电极采集装置,电荷控制高密度电极阵列,美国,2013
US2015018657A1,C2,柔性电极采集装置,用于快速应用的生理电极组件,美国,2014
US20160022168A1,C2,柔性电极采集装置,改善神经训练和康复的脑状态依赖性治疗,美国,2015
US2017095176A1,C2,柔性电极采集装置,单单元无引线脑电图传感器,美国,2016
US2017123495A1,C2,柔性电极采集装置,脑机接口头戴设备,美国,2015
US20180133459A1,C2,柔性电极采集装置,脑神经刺激器电极配件,美国,2016
US2019000338A1,C2,柔性电极采集装置,用于从干式脑电图电极获取信号的方法和系统,美国,2018
US2019059814A1,C2,柔性电极采集装置,使用虚拟现实设备和头带的脑电图测量系统,美国,2018
US2021085207A1,C2,柔性电极采集装置,具有传输能力的脑电图头套,美国,2020
US20220211313A1,C2,柔性电极采集装置,干式脑电电极,美国,2021
US20230051708A1,C2,柔性电极采集装置,用于脑电信号配准的电极支持装置,美国,2022
US20230190175A1,C2,柔性电极采集装置,具有半干电极的轻便脑电图监测装置,美国,2021
US2025248636A1,C2,柔性电极采集装置,用于最佳脑机接口性能的皮层映射,美国,2025
US2025251794A1,C2,柔性电极采集装置,用于高密度和高通道数神经接口的插入器,美国,2025
US63549722P0,C2,柔性电极采集装置,用于最佳脑机接口性能的皮层映射,美国,2024
US6381481B1,C2,柔性电极采集装置,便携式脑电图电极定位器头带,美国,2000
US6445940B1,C2,柔性电极采集装置,陶瓷单板电容器EEG电极,美国,2000
US7006859B1,C2,柔性电极采集装置,具有用于检测和控制脑状态变化的三维多位点，多模态能力的单元化电极,美国,2003
US7551951B1,C2,柔性电极采集装置,具有检测和控制脑状态变化的三维多位点、多模态能力的单元化电极,美国,2006
US8180460B2,C2,柔性电极采集装置,柔性电路电极阵列,美国,2007
US9314184B2,C2,柔性电极采集装置,线接触干电极,美国,2015
US9345418B2,C2,柔性电极采集装置,具有传输能力的脑电图帽,美国,2008
US9409030B2,C2,柔性电极采集装置,神经刺激器系统,美国,2012
WO0101856A1,C2,柔性电极采集装置,快速-放置的脑电图(EEG)电极,世界知识产权组织,2000
WO2011136870A1,C2,柔性电极采集装置,刺激电极的选择,世界知识产权组织,2011
WO2016166740A1,C2,柔性电极采集装置,可伸缩的电极引脚中使用的脑电帽,世界知识产权组织,2016
WO2017200891A1,C2,柔性电极采集装置,头帽用于电刺激和/或记录脑电信号,世界知识产权组织,2017
WO2018230445A1,C2,柔性电极采集装置,生物电极,世界知识产权组织,2018
WO2020056925A1,C2,柔性电极采集装置,皮肤干电极,世界知识产权组织,2018
WO2022266953A1,C2,柔性电极采集装置,-,世界知识产权组织,2021
WO2023230133A3,C2,柔性电极采集装置,一种碳纤维基导电硅胶海绵电极与织物印刷电极连接导线的通用脑电帽,世界知识产权组织,2023
WO2025166163A1,C2,柔性电极采集装置,用于高密度和高通道数神经接口的插入件,世界知识产权组织,2025
WO2025170999A1,C2,柔性电极采集装置,用于优化脑机接口性能的皮层映射,世界知识产权组织,2025
WO2025253119A1,C2,柔性电极采集装置,用于神经接口电子设备的可定制架构,世界知识产权组织,2025
AT520461A1,C3,脑电状态检测评估,用于识别被摄对象的预定身体部分的装置和方法,其他,2017
AT520461B1,C3,脑电状态检测评估,用于学习被摄对象的预定的身体部分的装置,其他,2017
CN103325119A,C3,脑电状态检测评估,一种基于模态融合的默认态脑网络中心节点检测方法,中国,2013
CN108577835A,C3,脑电状态检测评估,一种基于微状态的脑功能网络构建方法,中国,2018
CN108577835B,C3,脑电状态检测评估,一种基于微状态的脑功能网络构建方法,中国,2018
CN111616702A,C3,脑电状态检测评估,一种基于认知负荷增强的测谎分析系统,中国,2020
CN112587155A,C3,脑电状态检测评估,一种基于自监督学习的脑电波图异常检测的方法及装置,中国,2020
CN113057652A,C3,脑电状态检测评估,基于脑电和深度学习的脑负荷检测方法,中国,2021
CN113436728A,C3,脑电状态检测评估,新生儿临床视频脑电图自动分析的方法及设备,中国,2021
CN115414044A,C3,脑电状态检测评估,一种基于脑电分析的人体精神状态管理系统、方法及设备,中国,2022
CN116153522A,C3,脑电状态检测评估,一种基于皮质-肌肉-皮质网络图的模型训练方法及装置,中国,2023
CN119791677A,C3,脑电状态检测评估,基于脑电的摩尔斯电码训练效果评估方法及系统,中国,2024
CN120000238A,C3,脑电状态检测评估,一种基于脑电信号的神经反应数据监测系统及方法,中国,2025
CN121587746A,C3,脑电状态检测评估,一种基于脑电特征的安全帽智能控制方法及系统,中国,2026
CN121587746B,C3,脑电状态检测评估,一种基于脑电特征的安全帽智能控制方法及系统,中国,2026
EP3047475A4,C3,脑电状态检测评估,系统和方法用于评估用户的认知负担相对应的刺激,欧洲专利局,2014
EP3047475B1,C3,脑电状态检测评估,用于评估对应于刺激的用户的认知负载的系统和方法,欧洲专利局,2014
EP3962348A4,C3,脑电状态检测评估,使用生理信号输入的心理适应度评估系统和方法,欧洲专利局,2020
EP3986268A4,C3,脑电状态检测评估,用于测量脑电信号的方法和系统,欧洲专利局,2020
EP4531685A4,C3,脑电状态检测评估,用于具有用于认知测试的定时同步接口的可佩戴设备的方法和装置,欧洲专利局,2023
GB2581455A,C3,脑电状态检测评估,神经反应检测器,英国,2018
GB2581455B,C3,脑电状态检测评估,神经反应检测器,英国,2018
IN202041026123A,C3,脑电状态检测评估,一种具有无线模型的嵌入式系统设备，用于使用小波和复杂小波特征自动检测和识别脑电信号，以及用于定期实时监测COVID-19大流行期间压力水平和精神障碍的神经网络分类器方法,印度,2020
IN202441102559A,C3,脑电状态检测评估,提升职场幸福感：基于单通道脑机接口的神经压力检测,印度,2024
JP2021502135A,C3,脑电状态检测评估,基于人神经元的响应检测，系统和计算机程序·,日本,2018
KR102184325B1,C3,脑电状态检测评估,用于测量集中指数的设备和方法,韩国,2018
KR20200063478A,C3,脑电状态检测评估,个性化认知状态估计装置及其方法,韩国,2018
KR20200107303A,C3,脑电状态检测评估,具有反馈算法的脑电图感测装置,韩国,2019
RU2252692C2,C3,脑电状态检测评估,方法和装置，用于学习功能性状态的脑和方法用于测量subelectrode电阻,俄罗斯,2003
US10959639B2,C3,脑电状态检测评估,脑电图监测装置及在其中呈现消息的方法,美国,2011
US11556809B2,C3,脑电状态检测评估,大脑活动预测,美国,2015
US11642068B2,C3,脑电状态检测评估,用于确定图像的客观视觉记忆的设备和方法,美国,2020
US11759146B2,C3,脑电状态检测评估,感觉诱发诊断用于认知脑功能的评估,美国,2018
US20040116798A1,C3,脑电状态检测评估,使用三维脑源定位研究中枢神经系统药物的方法和系统,美国,2002
US2007185697A1,C3,脑电状态检测评估,利用脑电图信号进行任务分类和活动识别,美国,2006
