path_id,rank_by_spc,total_spc,total_splc,node_count,internal_nodes,external_nodes,cn_nodes,year_start,year_end,year_span,seed_source,seed_target,seed_spc,stage,signature,node_sequence
14,14,8264315.73843016,0.13225856,10,7,3,0,2008,2010,2008→2010,US20110047121A1,US8392251B2,2749546.24701843,strict,US20090070798A1→US20090024448A1,US20090070798A1 → US20090062629A1 → US20090024447A1 → US20070055169A1 → US20090062681A1 → US20110047121A1 → US8392251B2 → US20110046503A1 → US20090063256A1 → US20090024448A1
15,15,7768767.00817809,0.08678392,8,7,1,0,2008,2010,2008→2010,US20090036756A1,US8386312B2,2903507.5467137,strict,US20090024449A1→US20090082643A1,US20090024449A1 → US20090070798A1 → US20090036756A1 → US8386312B2 → US20090024448A1 → US20090030303A1 → US8392250B2 → US20090082643A1
16,16,7721774.60795148,0.10657914,11,7,4,0,2008,2009,2008→2009,US20090024447A1,US8392255B2,2889424.92745264,relaxed,US20090036756A1→US20090024448A1,US20090036756A1 → US20090030717A1 → US20090082643A1 → US20090083129A1 → US20090070798A1 → US20090024447A1 → US8392255B2 → US8209224B2 → US20110046503A1 → US20090036755A1 → US20090024448A1
17,17,7542604.91614616,0.11663274,10,8,2,0,2008,2010,2008→2010,US20110047121A1,US8392250B2,2749546.52275097,strict,US20090063256A1→US8655428B2,US20090063256A1 → US20090082643A1 → US20110046502A1 → US20090062681A1 → US20090030287A1 → US20090036756A1 → US20110047121A1 → US8392250B2 → US20090328089A1 → US8655428B2
18,18,7153573.76902807,0.07175678,7,6,1,0,2008,2010,2008→2010,US20090082643A1,US8386312B2,2872747.29863578,strict,US20110046504A1→US8392251B2,US20110046504A1 → US20090062629A1 → US20090082643A1 → US8386312B2 → US20110046503A1 → US8655437B2 → US8392251B2
19,19,7149927.76689411,0.10363257,10,8,2,0,2008,2010,2008→2010,US20090024447A1,US8392251B2,3033268.14065654,strict,US20090082643A1→US8494905B2,US20090082643A1 → US20110046503A1 → US20090036756A1 → US20110046504A1 → US20090062681A1 → US20090024447A1 → US8392251B2 → US8209224B2 → US8655437B2 → US8494905B2
20,20,6879503.65767536,0.08759156,9,7,2,0,2008,2010,2008→2010,US20090036756A1,US8392251B2,3033267.09348554,strict,US20090062681A1→US8484081B2,US20090062681A1 → US20110046504A1 → US20110046503A1 → US20090062629A1 → US20090036756A1 → US8392251B2 → US8270814B2 → US8655437B2 → US8484081B2
21,21,6829118.82458287,0.08777835,10,8,2,0,2008,2010,2008→2010,US20090024447A1,US8386312B2,2903508.54908798,strict,US20090062681A1→US8392250B2,US20090062681A1 → US20090062629A1 → US20110046503A1 → US20090082643A1 → US20090024447A1 → US8386312B2 → US8270814B2 → US8655437B2 → US8494610B2 → US8392250B2
22,22,6742201.85276145,0.07178847,7,6,1,0,2008,2010,2008→2010,US20110046503A1,US8635105B2,3117203.81179697,strict,US20090036756A1→US8270814B2,US20090036756A1 → US20090082643A1 → US20090062681A1 → US20110046503A1 → US8635105B2 → US8392250B2 → US8270814B2
23,23,6175377.08841238,0.07871496,8,6,2,0,2008,2010,2008→2010,US20110046503A1,US8386312B2,2870708.23674868,strict,US20090036756A1→US8392251B2,US20090036756A1 → US20090024449A1 → US20070055169A1 → US20090030717A1 → US20110046503A1 → US8386312B2 → US20090030303A1 → US8392251B2
24,24,5958248.67922208,0.05595394,7,6,1,0,2008,2010,2008→2010,US20110046503A1,US8655428B2,3319239.67602514,strict,US20090062681A1→US8209224B2,US20090062681A1 → US20090036756A1 → US20110046503A1 → US8655428B2 → US8494905B2 → US8392250B2 → US8209224B2
25,25,5466539.24461099,0.0710461,9,8,1,0,2008,2009,2008→2009,US20090063256A1,US8386313B2,2851349.80575151,strict,US20090063256A1→US8635105B2,US20090063256A1 → US20090062681A1 → US8386313B2 → US20090024448A1 → US20090082643A1 → US20090030303A1 → US8386312B2 → US20110105937A1 → US8635105B2
26,26,3864870.88295285,0.07140002,10,9,1,0,2008,2008,2008→2008,US20090024447A1,US8386313B2,2903374.89980271,relaxed,US20090024447A1→US20090036755A1,US20090024447A1 → US20090070798A1 → US8386313B2 → US20090030303A1 → US20090024448A1 → US20090328089A1 → US8635105B2 → US8386312B2 → US20090063256A1 → US20090036755A1
27,27,2956961.54891398,0.05394744,6,5,1,0,2008,2009,2008→2009,US20110046503A1,US8386313B2,2870576.09727067,relaxed,US20090062681A1→US20110105937A1,US20090062681A1 → US20090030930A1 → US20110046503A1 → US20090083129A1 → US8386313B2 → US20110105937A1
28,28,2605673.45054385,0.04641347,6,4,2,0,2008,2008,2008→2008,US20090036756A1,US8392253B2,2903471.54082741,relaxed,US20090036756A1→US20090030303A1,US20090036756A1 → US20090083129A1 → US8392253B2 → US20090024448A1 → US20090063256A1 → US20090030303A1
29,29,1386571.53192309,0.02539746,8,6,2,0,2008,2009,2008→2009,US20090036756A1,US8392254B2,2874737.37066656,relaxed,US20090036756A1→US8655437B2,US20090036756A1 → US20090030930A1 → US8392254B2 → US8270814B2 → US20110105937A1 → US8386312B2 → US20090328089A1 → US8655437B2
30,30,1298125.86643454,0.02410378,4,4,0,0,2008,2010,2008→2010,US20090036756A1,US8392250B2,3033267.39767044,strict,US20090036756A1→US20090030303A1,US20090036756A1 → US20090062629A1 → US8392250B2 → US20090030303A1
