pub,title,title_zh,摘要_中文,申请日,app_year,country,pub_date,主IPC分类号,IPC分类号,数据来源,是否主路径
US20080161879A1,METHODS AND APPARATUS FOR EFFECTUATING A LASTING CHANGE IN A NEURAL-FUNCTION OF A PATIENT,实现患者神经功能持久改变的方法和装置,以下公开描述了几种用于颅内电刺激以治疗或以其它方式实现患者神经功能改变的方法和装置。 本发明的方法的几个实施方案针对增强或以其它方式诱导神经活性的持久改变，以实现特定的神经功能。 神经活性的这种持续变化被定义为“神经可塑性”。根据本发明的方法可用于治疗脑损伤(例如中风，创伤等)，脑疾病(例如阿尔茨海默氏病，匹克氏病，帕金森氏病等)和/或脑障碍(例如癫痫，抑郁症等)。 本发明的方法还可用于增强正常健康大脑的神经功能(例如学习，记忆等)，或用于控制感觉功能(例如疼痛)。 本发明方法的某些实施方案在神经可塑性发生的刺激部位对脑进行电刺激。 刺激部位可以不同于脑中根据脑的功能组织通常存在神经活性以执行特定神经功能的区域。 在其中与神经功能相关的神经可塑性发生在脑中的一个实施方案中，该方法可以包括识别这种神经可塑性存在的位置。 在脑中不发生神经可塑性的可选实施方案中，可选方面是在预期发生神经可塑性的刺激部位诱导神经可塑性。 这些方法的几个实施方案预期在刺激部位对预期的神经活性产生持久的影响，它们使用将刺激部位神经元的静止膜电位增加到亚阈值水平的电脉冲。,2007-08-06,2007.0,US,2008-07-03,A61B1/05,A61B1/05; A61N1/05; A61N1/36; A61N1/375,incoPat,False
US20080161880A1,METHODS AND APPARATUS FOR EFFECTUATING A LASTING CHANGE IN A NEURAL-FUNCTION OF A PATIENT,实现患者神经功能持久改变的方法和装置,以下公开描述了几种用于颅内电刺激以治疗或以其它方式实现患者神经功能改变的方法和装置。 本发明的方法的几个实施方案针对增强或以其它方式诱导神经活性的持久改变，以实现特定的神经功能。 神经活性的这种持续变化被定义为“神经可塑性”。根据本发明的方法可用于治疗脑损伤(例如中风，创伤等)，脑疾病(例如阿尔茨海默氏病，匹克氏病，帕金森氏病等)和/或脑障碍(例如癫痫，抑郁症等)。 本发明的方法还可用于增强正常健康大脑的神经功能(例如学习，记忆等)，或用于控制感觉功能(例如疼痛)。 本发明方法的某些实施方案在神经可塑性发生的刺激部位对脑进行电刺激。 刺激部位可以不同于脑中根据脑的功能组织通常存在神经活性以执行特定神经功能的区域。 在其中与神经功能相关的神经可塑性发生在脑中的一个实施方案中，该方法可以包括识别这种神经可塑性存在的位置。 在脑中不发生神经可塑性的可选实施方案中，可选方面是在预期发生神经可塑性的刺激部位诱导神经可塑性。 这些方法的几个实施方案预期在刺激部位对预期的神经活性产生持久的影响，它们使用将刺激部位神经元的静止膜电位增加到亚阈值水平的电脉冲。,2007-08-06,2007.0,US,2008-07-03,A61N1/362,A61N1/362; A61N1/05; A61N1/36; A61N1/375,incoPat,False
US20080161881A1,METHODS AND APPARATUS FOR EFFECTUATING A LASTING CHANGE IN A NEURAL-FUNCTION OF A PATIENT,实现患者神经功能持久改变的方法和装置,以下公开描述了几种用于颅内电刺激以治疗或以其它方式实现患者神经功能改变的方法和装置。 本发明的方法的几个实施方案针对增强或以其它方式诱导神经活性的持久改变，以实现特定的神经功能。 神经活性的这种持续变化被定义为“神经可塑性”。根据本发明的方法可用于治疗脑损伤(例如中风，创伤等)，脑疾病(例如阿尔茨海默氏病，匹克氏病，帕金森氏病等)和/或脑障碍(例如癫痫，抑郁症等)。 本发明的方法还可用于增强正常健康大脑的神经功能(例如学习，记忆等)，或用于控制感觉功能(例如疼痛)。 本发明方法的某些实施方案在神经可塑性发生的刺激部位对脑进行电刺激。 刺激部位可以不同于脑中根据脑的功能组织通常存在神经活性以执行特定神经功能的区域。 在其中与神经功能相关的神经可塑性发生在脑中的一个实施方案中，该方法可以包括识别这种神经可塑性存在的位置。 在脑中不发生神经可塑性的可选实施方案中，可选方面是在预期发生神经可塑性的刺激部位诱导神经可塑性。 这些方法的几个实施方案预期在刺激部位对预期的神经活性产生持久的影响，它们使用将刺激部位神经元的静止膜电位增加到亚阈值水平的电脉冲。,2007-08-06,2007.0,US,2008-07-03,A61N1/05,A61N1/05; A61N1/36; A61N1/375,incoPat,False
US7010351B2,Methods and apparatus for effectuating a lasting change in a neural-function of a patient,实现患者神经功能持久改变的方法和装置,以下公开描述了几种用于颅内电刺激以治疗或以其它方式实现患者神经功能改变的方法和装置。 本发明的方法的几个实施方案针对增强或以其它方式诱导神经活性的持久改变，以实现特定的神经功能。 神经活性的这种持续变化被定义为“神经可塑性”。根据本发明的方法可用于治疗脑损伤(例如中风，创伤等)，脑疾病(例如阿尔茨海默氏病，匹克氏病，帕金森氏病等)和/或脑障碍(例如癫痫，抑郁症等)。 本发明的方法还可用于增强正常健康大脑的神经功能(例如学习，记忆等)，或用于控制感觉功能(例如疼痛)。 本发明方法的某些实施方案在神经可塑性发生的刺激部位对脑进行电刺激。 刺激部位可以不同于脑中根据脑的功能组织通常存在神经活性以执行特定神经功能的区域。 在其中与神经功能相关的神经可塑性发生在脑中的一个实施方案中，该方法可以包括识别这种神经可塑性存在的位置。 在脑中不发生神经可塑性的可选实施方案中，可选方面是在预期发生神经可塑性的刺激部位诱导神经可塑性。 这些方法的几个实施方案预期在刺激部位对预期的神经活性产生持久的影响，它们使用将刺激部位神经元的静止膜电位增加到亚阈值水平的电脉冲。,2001-03-08,2001.0,US,2006-03-07,A61N1/18,A61N1/18; A61N1/05; A61N1/36; A61N1/375,incoPat,False
US20120041498A1,SYSTEMS AND METHODS FOR ENHANCING OR AFFECTING NEURAL STIMULATION EFFICIENCY AND/OR EFFICACY,用于增强或影响神经刺激效率和/或功效的系统和方法,公开了用于增强或影响神经刺激效率和/或功效的系统和方法。 在一个实施例中，系统和/或方法可以根据第一组刺激参数在第一时域上和根据第二组刺激参数在第二时域上向患者的神经系统施加电磁刺激。 第一和第二时域可以是顺序的、同时的或嵌套的。 刺激参数可以根据一种或多种类型的占空比、振幅、脉冲重复频率、脉冲宽度、时空和/或极性变化而变化。 可以以一种或多种周期性的、非周期性的(例如，混沌的)和/或伪随机的方式在阈值以下、阈值和/或阈值以上水平施加刺激。 在一些实施例中，刺激可以包括突发模式，该突发模式具有对应于固有脑波频率的突发间频率，以及规则和/或变化的突发内刺激参数。 可以在中度或显著的电源耗尽之前施加提供至少具有充分的症状缓解的降低的功耗的刺激信号。,2011-07-08,2011.0,US,2012-02-16,A61N1/36,A61N1/36; H04L49/901,incoPat,False
US20040019370A1,Systems and methods for reducing the likelihood of inducing collateral neural activity during neural stimulation threshold test procedures,在神经刺激阈值测试过程中降低诱导侧枝神经活性的可能性的系统和方法,一种用于确定患者的神经刺激阈值的测试程序。 在一个实施例中，所述过程包括将测试刺激信号施加到所述患者并监测所述患者对所述测试刺激信号的响应。 所述过程还可以包括确定第一神经刺激阈值和计算第二神经刺激阈值。 所述第一神经刺激阈值对应于引发患者响应的最低强度测试刺激信号。 所述第二神经刺激阈值对应于针对影响患者体内神经活性的治疗刺激信号。,2003-01-24,2003.0,US,2004-01-29,A61N1/18,A61N1/18; A61B; A61N1/05; A61N1/34; A61N1/36; A61N1/375,incoPat,False
US20070043392A1,Systems and methods for reducing the likelihood of inducing collateral neural activity during neural stimulation threshold test procedures,在神经刺激阈值测试过程中降低诱导侧枝神经活性的可能性的系统和方法,一种用于确定患者的神经刺激阈值的测试程序。 在一个实施例中，所述过程包括将测试刺激信号施加到所述患者并监测所述患者对所述测试刺激信号的响应。 所述过程还可以包括确定第一神经刺激阈值和计算第二神经刺激阈值。 所述第一神经刺激阈值对应于引发患者响应的最低强度测试刺激信号。 所述第二神经刺激阈值对应于针对影响患者体内神经活性的治疗刺激信号。,2006-03-23,2006.0,US,2007-02-22,A61N1/36,A61N1/36; A61B; A61N1/05; A61N1/18; A61N1/34; A61N1/375,incoPat,False
US7620456B2,Systems and methods for reducing the likelihood of inducing collateral neural activity during neural stimulation threshold test procedures,在神经刺激阈值测试过程中降低诱导侧枝神经活性的可能性的系统和方法,一种用于确定患者的神经刺激阈值的测试程序。 在一个实施例中，所述过程包括将测试刺激信号施加到所述患者并监测所述患者对所述测试刺激信号的响应。 所述过程还可以包括确定第一神经刺激阈值和计算第二神经刺激阈值。 所述第一神经刺激阈值对应于引发患者响应的最低强度测试刺激信号。 所述第二神经刺激阈值对应于针对影响患者体内神经活性的治疗刺激信号。,2006-03-23,2006.0,US,2009-11-17,A61N1/00,A61N1/00; A61B; A61N1/05; A61N1/18; A61N1/34; A61N1/36; A61N1/375,incoPat,False
US20060200206A1,Methods and apparatus for effectuating a lasting change in a neural-function of a patient,实现患者神经功能持久改变的方法和装置,以下公开描述了几种用于颅内电刺激以治疗或以其它方式实现患者神经功能改变的方法和装置。 本发明的方法的几个实施方案针对增强或以其它方式诱导神经活性的持久改变，以实现特定的神经功能。 神经活性的这种持续变化被定义为“神经可塑性”。根据本发明的方法可用于治疗脑损伤(例如中风，创伤等)，脑疾病(例如阿尔茨海默氏病，匹克氏病，帕金森氏病等)和/或脑障碍(例如癫痫，抑郁症等)。 本发明的方法还可用于增强正常健康大脑的神经功能(例如学习，记忆等)，或用于控制感觉功能(例如疼痛)。 本发明方法的某些实施方案在神经可塑性发生的刺激部位对脑进行电刺激。 刺激部位可以不同于脑中根据脑的功能组织通常存在神经活性以执行特定神经功能的区域。 在其中与神经功能相关的神经可塑性发生在脑中的一个实施方案中，该方法可以包括识别这种神经可塑性存在的位置。 在脑中不发生神经可塑性的可选实施方案中，可选方面是在预期发生神经可塑性的刺激部位诱导神经可塑性。 这些方法的几个实施方案预期在刺激部位对预期的神经活性产生持久的影响，它们使用将刺激部位神经元的静止膜电位增加到亚阈值水平的电脉冲。,2006-02-15,2006.0,US,2006-09-07,A61N1/05,A61N1/05; A61N1/34; A61N1/36; A61N1/375,incoPat,False
US7483747B2,Systems and methods for enhancing or affecting neural stimulation efficiency and/or efficacy,用于增强或影响神经刺激效率和/或功效的系统和方法,公开了用于增强或影响神经刺激效率和/或功效的系统和方法。 在一个实施例中，系统和/或方法可以根据第一组刺激参数在第一时域上和根据第二组刺激参数在第二时域上向患者的神经系统施加电磁刺激。 第一和第二时域可以是顺序的、同时的或嵌套的。 刺激参数可以根据一种或多种类型的占空比、振幅、脉冲重复频率、脉冲宽度、时空和/或极性变化而变化。 可以以一种或多种周期性的、非周期性的(例如，混沌的)和/或伪随机的方式在阈值以下、阈值和/或阈值以上水平施加刺激。 在一些实施例中，刺激可以包括突发模式，该突发模式具有对应于固有脑波频率的突发间频率，以及规则和/或变化的突发内刺激参数。 可以在中度或显著的电源耗尽之前施加提供至少具有充分的症状缓解的降低的功耗的刺激信号。,2005-07-15,2005.0,US,2009-01-27,A61N1/00,A61N1/00; H04L49/901,incoPat,False
US20060190056A1,Apparatus and methods for applying neural stimulation to a patient,向患者施加神经刺激的装置和方法,用于神经刺激的系统和方法可以包括刺激单元； 具有第一组触点的第一电极组件； 以及第二组触点。 刺激单元可以是可植入脉冲发生器，其包括能够以第一信号极性偏置的第一端子和能够以第二信号极性偏置的第二端子。 所述第一电极组件包括 : 支撑构件，被配置为放置在所述刺激部位，所述第一组触点由所述支撑构件承载；以及第一引线，被配置为附接到所述可植入脉冲发生器的所述第一端子，用于以所述第一极性偏置所述表面触点。 所述第二组触点与所述表面电极组件分离。 所述第二组触点可以是固定到所述可植入脉冲发生器或形成所述可植入脉冲发生器的一部分的一个或多个导电元件，或独立的电极阵列。,2006-03-15,2006.0,US,2006-08-24,A61N1/18,A61N1/18; A61N; A61N1/05; A61N1/36,incoPat,False
US7684866B2,Apparatus and methods for applying neural stimulation to a patient,向患者施加神经刺激的装置和方法,用于神经刺激的系统和方法可以包括刺激单元； 具有第一组触点的第一电极组件； 以及第二组触点。 刺激单元可以是可植入脉冲发生器，其包括能够以第一信号极性偏置的第一端子和能够以第二信号极性偏置的第二端子。 所述第一电极组件包括支撑构件，所述支撑构件被构造成放置在刺激部位， 所述第一组触点由所述支撑构件承载，以及第一引线，所述第一引线被配置为附接到所述可植入脉冲发生器的所述第一端子，用于以所述第一极性偏压所述表面触点。 所述第二组触点与所述表面电极组件分离。 所述第二组触点可以是固定到所述可植入脉冲发生器或形成所述可植入脉冲发生器的一部分的一个或多个导电元件，或独立的电极阵列。,2004-08-02,2004.0,US,2010-03-23,A61N1/00,A61N1/00; A61N; A61N1/05; A61N1/18; A61N1/36,incoPat,False
US20090182391A1,APPARATUS AND METHODS FOR APPLYING NEURAL STIMULATION TO A PATIENT,向患者施加神经刺激的装置和方法,用于神经刺激的系统和方法可以包括刺激单元； 具有第一组触点的第一电极组件； 以及第二组触点。 刺激单元可以是可植入脉冲发生器，其包括能够以第一信号极性偏置的第一端子和能够以第二信号极性偏置的第二端子。 所述第一电极组件包括支撑构件，所述支撑构件被构造成放置在刺激部位， 所述第一组触点由所述支撑构件承载，以及第一引线，所述第一引线被配置为附接到所述可植入脉冲发生器的所述第一端子，用于以所述第一极性偏压所述表面触点。 所述第二组触点与所述表面电极组件分离。 所述第二组触点可以是固定到所述可植入脉冲发生器或形成所述可植入脉冲发生器的一部分的一个或多个导电元件，或独立的电极阵列。,2008-12-31,2008.0,US,2009-07-16,A61N1/36,A61N1/36; A61N; A61N1/05; A61N1/18,incoPat,False
WO2006019764A2,SYSTEMS AND METHODS FOR ENHANCING OR AFFECTING NEURAL STIMULATION EFFICIENCY AND/OR EFFICACY,系统和方法用于增强或影响神经刺激的效率和\/或效力,系统和方法用于增强或影响神经刺激的效率和\/或效力是本发明公开了。在一个实施方案中，一种系统和\/或方法可以施加电磁刺激，以一种患者的神经系统在一种第一时间域根据一种第一组的刺激参数，和在第二时间域根据一种第二设定的刺激参数。第一和第二时间域可以被顺序，同时，或嵌套。刺激参数可以根据与一种或多种类型的变化的占空周期，振幅，脉冲重复频率，脉冲宽度，时空，和\/或极性变化。刺激可以被施加在亚阈值，阈值，和\/或suprathreshold水平在一个或多个周期性的，非周期性(E。G。，混沌)，和\/或伪-随机的方式。在一些实施方案中刺激可以包括一种具有一种interburst频率对应的爆发图案，以一种固有的脑电波频率，和规则和\/或改变intraburst刺激参数。刺激信号提供减少功率消耗与至少足够的症状缓解之前可以被施加到中度或显著的动力源的耗尽。,2005-07-15,2005.0,WO,2006-02-23,A61N1/18,A61N1/18; H04L49/901,incoPat,False
US8126562B2,Apparatus and methods for applying neural stimulation to a patient,用于向患者施加神经刺激装置和方法,用于神经刺激的系统和方法可以包括刺激单元； 具有第一组触点的第一电极组件； 和第二组联系人。 刺激单元可以是可植入脉冲发生器，其包括可以以第一信号极性偏置的第一端子和可以以第二信号极性偏置的第二端子。 所述第一电极组件包括配置成放置在所述刺激部位处的支撑构件、由所述支撑构件承载的所述第一组触点、以及配置成附接到所述可植入脉冲发生器的所述第一端子以在所述第一极性偏置所述表面触点的第一引线。 第二组触点与表面电极组件分离。 第二组触点可以是固定到可植入脉冲发生器或形成可植入脉冲发生器的一部分的一个或多个导电元件，或者是单独的电极阵列。,2008-12-31,2008.0,US,2012-02-28,A61N1/00,A61N1/00; A61N; A61N1/05; A61N1/18; A61N1/36,incoPat,False
WO2004066820A2,SYSTEMS AND METHODS FOR REDUCING THE LIKELIHOOD OF INDUCING COLLATERAL NEURAL ACTIVITY DURING NEURAL STIMULATION THRESHOLD TEST PROCEDURES,系统和方法用于降低所述的诱导络神经活性在神经刺激的可能性阈值测试步骤,测试程序，用于确定一种患者的神经刺激的阈值。在一个实施方案中，该程序包括将一种测试刺激信号至该患者和监测该患者用于一种响应对该测试刺激信号。该程序可以进一步包括确定的第一神经刺激的阈值和计算的第二神经刺激的阈值。第一神经刺激对应于该最低强度测试刺激信号的阈值evokes的患者的响应。第二对应于一种治疗刺激神经刺激的阈值信号引导向影响的神经活性在该患者。,2004-01-26,2004.0,WO,2004-08-12,A61B,A61B; A61N1/05; A61N1/18; A61N1/34; A61N1/36; A61N1/375,incoPat,False
US20050070982A1,"Field steerable electrical stimulation paddle,  lead system,  and medical device incorporating the same",场可操纵的电刺激桨叶，引线系统和包括该桨叶的医疗装置,一种可植入电极桨叶，适于从医疗装置接收电信号并产生电场以刺激选定的身体组织。 所述桨叶包括壳体，所述壳体包括限定内部空间的壁和多个窗口，所述多个窗口穿过所述壁中的至少第一壁形成，用于将所述电场传输到所述身体组织， 一种包括多个电极组的电极阵列， 每个电极组包括至少两个分别固定在相应窗口中且间隔约0.1mm至约10mm的电极， 以及多根导线，每根导线耦合到相应的电极并在内部空间内布线以接收电信号。 引线组件和可植入医疗装置可包括桨叶。,2004-05-14,2004.0,US,2005-03-31,A61N1/05,A61N1/05; A61N1/34,incoPat,False
CN111200967A,SYSTEMS AND METHODS FOR MONITORING NEURAL ACTIVITY,用于监测神经活动的系统和方法,一种用于监测大脑中的响应于刺激的神经活动的方法，所述方法包括：a.将第一刺激施加到植入所述大脑中的至少一个电极中的一个或多个，所述第一刺激包括第一多个刺激突发；b.在施加所述第一刺激期间至少部分地检测由植入所述大脑中的所述至少一个电极中的一个或多个处的神经元活动引起的在约200Hz与约500Hz之间的高频振荡(HFO)；c.确定所述HFO的一个或多个波形特性；和d.产生包括第二多个刺激突发的第二刺激，其中所述第二刺激的一个或多个波形特性取决于所述HFO的一个或多个波形特性；以及e.将所述第二刺激施加到植入所述大脑中的所述至少一个电极中的一个或多个。,2018-05-21,2018.0,CN,2020-05-26,A61B5/0484,A61B5/0484; A61N1/36,incoPat,False
CN111200967B,Systems and methods for monitoring neural activity,用于监测神经活动的系统和方法,一种用于监测大脑中的响应于刺激的神经活动的方法，所述方法包括：a.将第一刺激施加到植入所述大脑中的至少一个电极中的一个或多个，所述第一刺激包括第一多个刺激突发；b.在施加所述第一刺激期间至少部分地检测由植入所述大脑中的所述至少一个电极中的一个或多个处的神经元活动引起的在约200Hz与约500Hz之间的高频振荡(HFO)；c.确定所述HFO的一个或多个波形特性；和d.产生包括第二多个刺激突发的第二刺激，其中所述第二刺激的一个或多个波形特性取决于所述HFO的一个或多个波形特性；以及e.将所述第二刺激施加到植入所述大脑中的所述至少一个电极中的一个或多个。,2018-05-21,2018.0,CN,2023-06-06,A61B5/388,A61B5/388; A61N1/36,incoPat,False
