node_id,node_type,name,title,标题_中文,是否主路径,申请日,主IPC分类号,ipc_code
应用场景:脑深部刺激,应用场景,脑深部刺激,,,,,,
应用场景:治疗,应用场景,治疗,,,,,,
应用场景:脑疾病治疗,应用场景,脑疾病治疗,,,,,,
应用场景:神经治疗,应用场景,神经治疗,,,,,,
应用场景:增强正常健康大脑的神经功能,应用场景,增强正常健康大脑的神经功能,,,,,,
技术方法:对脑进行电刺激,技术方法,对脑进行电刺激,,,,,,
技术方法:识别神经可塑性存在的位置,技术方法,识别神经可塑性存在的位置,,,,,,
技术方法:电信号递送,技术方法,电信号递送,,,,,,
技术方法:将刺激部位神经元的静止膜电位增加到亚阈值水平,技术方法,将刺激部位神经元的静止膜电位增加到亚阈值水平,,,,,,
技术方法:诱导神经可塑性,技术方法,诱导神经可塑性,,,,,,
技术原理:神经可塑性,技术原理,神经可塑性,,,,,,
技术原理:静止膜电位增加到亚阈值水平,技术原理,静止膜电位增加到亚阈值水平,,,,,,
核心部件:电脉冲,核心部件,电脉冲,,,,,,
核心部件:刺激部位,核心部件,刺激部位,,,,,,
核心部件:脑,核心部件,脑,,,,,,
Patent:US7024247B2,Patent,US7024247B2,Systems and methods for reducing the likelihood of inducing collateral neural activity during neural stimulation threshold test procedures,在神经刺激阈值测试过程中降低诱导侧枝神经活性的可能性的系统和方法,是,2003-01-24,A61N1/32,
技术问题:降低癫痫发作可能性,技术问题,降低癫痫发作可能性,,,,,,
应用场景:长期监测和/或刺激,应用场景,长期监测和/或刺激,,,,,,
技术方法:生成第二刺激,技术方法,生成第二刺激,,,,,,
技术方法:确定神经刺激阈值,技术方法,确定神经刺激阈值,,,,,,
Patent:US20030130706A1,Patent,US20030130706A1,Methods and apparatus for effectuating a lasting change in a neural-function of a patient,实现患者神经功能持久改变的方法和装置,是,2002-09-27,A61N1/18,
技术问题:治疗脑损伤,技术问题,治疗脑损伤,,,,,,
技术问题:治疗脑疾病,技术问题,治疗脑疾病,,,,,,
应用场景:脑损伤治疗,应用场景,脑损伤治疗,,,,,,
应用场景:认知增强,应用场景,认知增强,,,,,,
应用场景:疼痛控制,应用场景,疼痛控制,,,,,,
技术方法:颅内电刺激,技术方法,颅内电刺激,,,,,,
技术原理:脑的功能组织,技术原理,脑的功能组织,,,,,,
年份:2002,年份,2002,,,,,,
Patent:US20030074032A1,Patent,US20030074032A1,Neural stimulation system and method responsive to collateral neural activity,响应侧支神经活动的神经刺激系统和方法,是,2002-10-15,A61N1/18,
技术问题:响应侧枝神经活动,技术问题,响应侧枝神经活动,,,,,,
技术问题:影响连续存在的神经病症,技术问题,影响连续存在的神经病症,,,,,,
应用场景:康复,应用场景,康复,,,,,,
应用场景:恢复,应用场景,恢复,,,,,,
应用场景:增强一种或多种神经功能,应用场景,增强一种或多种神经功能,,,,,,
技术方法:促进神经可塑性改变,技术方法,促进神经可塑性改变,,,,,,
技术方法:侧枝神经活动检测,技术方法,侧枝神经活动检测,,,,,,
技术原理:响应侧支神经活动,技术原理,响应侧支神经活动,,,,,,
技术原理:感测单元确定是否存在侧枝神经活动的证据,技术原理,感测单元确定是否存在侧枝神经活动的证据,,,,,,
核心部件:刺激呈现系统,核心部件,刺激呈现系统,,,,,,
核心部件:监控装置,核心部件,监控装置,,,,,,
核心部件:感测装置,核心部件,感测装置,,,,,,
生物信号类型:神经活动,生物信号类型,神经活动,,,,,,
Patent:US20030088274A1,Patent,US20030088274A1,Method and apparatus for electrically stimulating cells implanted in the nervous system,用于电刺激植入神经系统中的细胞的方法和装置,是,2002-09-30,A61N1/18,
技术问题:改善植入神经系统中的细胞的功能性,技术问题,改善植入神经系统中的细胞的功能性,,,,,,
技术问题:促进完全分化神经细胞的定向生长和连通性,技术问题,促进完全分化神经细胞的定向生长和连通性,,,,,,
应用场景:神经系统,应用场景,神经系统,,,,,,
应用场景:脑,应用场景,脑,,,,,,
应用场景:脊髓,应用场景,脊髓,,,,,,
应用场景:外周神经,应用场景,外周神经,,,,,,
应用场景:感觉功能控制,应用场景,感觉功能控制,,,,,,
技术方法:细胞分化,技术方法,细胞分化,,,,,,
技术方法:电增强,技术方法,电增强,,,,,,
技术方法:阳极和阴极的电刺激,技术方法,阳极和阴极的电刺激,,,,,,
技术原理:电刺激促进细胞分化,技术原理,电刺激促进细胞分化,,,,,,
技术原理:电刺激促进神经细胞定向生长和连通性,技术原理,电刺激促进神经细胞定向生长和连通性,,,,,,
核心部件:阳极,核心部件,阳极,,,,,,
核心部件:阴极,核心部件,阴极,,,,,,
生物信号类型:动作电位,生物信号类型,动作电位,,,,,,
Patent:US7146217B2,Patent,US7146217B2,Methods and apparatus for effectuating a change in a neural-function of a patient,实现患者神经功能改变的方法和装置,否,2002-02-07,A61N1/18,
技术问题:增强或诱导神经活性持久改变,技术问题,增强或诱导神经活性持久改变,,,,,,
技术问题:治疗脑损伤、脑疾病和/或脑障碍,技术问题,治疗脑损伤、脑疾病和/或脑障碍,,,,,,
技术方法:使用电脉冲,技术方法,使用电脉冲,,,,,,
技术原理:刺激部位神经元的静止膜电位增加到亚阈值水平,技术原理,刺激部位神经元的静止膜电位增加到亚阈值水平,,,,,,
核心部件:电刺激,核心部件,电刺激,,,,,,
Patent:US20080161879A1,Patent,US20080161879A1,METHODS AND APPARATUS FOR EFFECTUATING A LASTING CHANGE IN A NEURAL-FUNCTION OF A PATIENT,实现患者神经功能持久改变的方法和装置,否,2007-08-06,A61B1/05,
技术方法:电脉冲刺激,技术方法,电脉冲刺激,,,,,,
技术原理:亚阈值刺激,技术原理,亚阈值刺激,,,,,,
技术主题:内窥镜检查 (A61B1),技术主题,内窥镜检查 (A61B1),,,,,,A61B1
年份:2007,年份,2007,,,,,,
Patent:US20080161880A1,Patent,US20080161880A1,METHODS AND APPARATUS FOR EFFECTUATING A LASTING CHANGE IN A NEURAL-FUNCTION OF A PATIENT,实现患者神经功能持久改变的方法和装置,否,2007-08-06,A61N1/362,
Patent:US20080161881A1,Patent,US20080161881A1,METHODS AND APPARATUS FOR EFFECTUATING A LASTING CHANGE IN A NEURAL-FUNCTION OF A PATIENT,实现患者神经功能持久改变的方法和装置,否,2007-08-06,A61N1/05,
核心部件:电刺激装置,核心部件,电刺激装置,,,,,,
Patent:US7010351B2,Patent,US7010351B2,Methods and apparatus for effectuating a lasting change in a neural-function of a patient,实现患者神经功能持久改变的方法和装置,否,2001-03-08,A61N1/18,
核心部件:刺激部位电极,核心部件,刺激部位电极,,,,,,
年份:2001,年份,2001,,,,,,
Patent:US20120041498A1,Patent,US20120041498A1,SYSTEMS AND METHODS FOR ENHANCING OR AFFECTING NEURAL STIMULATION EFFICIENCY AND/OR EFFICACY,用于增强或影响神经刺激效率和/或功效的系统和方法,否,2011-07-08,A61N1/36,
技术问题:神经刺激效率和/或功效,技术问题,神经刺激效率和/或功效,,,,,,
技术问题:减少功率消耗,技术问题,减少功率消耗,,,,,,
技术问题:症状缓解,技术问题,症状缓解,,,,,,
应用场景:患者,应用场景,患者,,,,,,
技术方法:施加电磁刺激,技术方法,施加电磁刺激,,,,,,
技术方法:施加刺激信号,技术方法,施加刺激信号,,,,,,
技术方法:调整刺激参数,技术方法,调整刺激参数,,,,,,
技术方法:周期性刺激施加,技术方法,周期性刺激施加,,,,,,
技术原理:电磁刺激,技术原理,电磁刺激,,,,,,
技术原理:突发模式,技术原理,突发模式,,,,,,
技术原理:降低的功耗,技术原理,降低的功耗,,,,,,
核心部件:系统,核心部件,系统,,,,,,
核心部件:方法,核心部件,方法,,,,,,
生物信号类型:脑振荡,生物信号类型,脑振荡,,,,,,
年份:2011,年份,2011,,,,,,
Patent:US20040019370A1,Patent,US20040019370A1,Systems and methods for reducing the likelihood of inducing collateral neural activity during neural stimulation threshold test procedures,在神经刺激阈值测试过程中降低诱导侧枝神经活性的可能性的系统和方法,否,2003-01-24,A61N1/18,
技术方法:监测患者响应,技术方法,监测患者响应,,,,,,
技术原理:神经刺激阈值,技术原理,神经刺激阈值,,,,,,
技术原理:第二神经刺激阈值,技术原理,第二神经刺激阈值,,,,,,
Patent:US20070043392A1,Patent,US20070043392A1,Systems and methods for reducing the likelihood of inducing collateral neural activity during neural stimulation threshold test procedures,在神经刺激阈值测试过程中降低诱导侧枝神经活性的可能性的系统和方法,否,2006-03-23,A61N1/36,
年份:2006,年份,2006,,,,,,
Patent:US7620456B2,Patent,US7620456B2,Systems and methods for reducing the likelihood of inducing collateral neural activity during neural stimulation threshold test procedures,在神经刺激阈值测试过程中降低诱导侧枝神经活性的可能性的系统和方法,否,2006-03-23,A61N1/00,
Patent:US20060200206A1,Patent,US20060200206A1,Methods and apparatus for effectuating a lasting change in a neural-function of a patient,实现患者神经功能持久改变的方法和装置,否,2006-02-15,A61N1/05,
技术方法:识别神经可塑性位置,技术方法,识别神经可塑性位置,,,,,,
Patent:US7483747B2,Patent,US7483747B2,Systems and methods for enhancing or affecting neural stimulation efficiency and/or efficacy,用于增强或影响神经刺激效率和/或功效的系统和方法,否,2005-07-15,A61N1/00,
技术问题:提供充分的症状缓解,技术问题,提供充分的症状缓解,,,,,,
技术方法:采用周期性的、非周期性的(例如，混沌的)和/或伪随机的方式施加刺激,技术方法,采用周期性的、非周期性的(例如，混沌的)和/或伪随机的方式施加刺激,,,,,,
技术原理:占空比、振幅、脉冲重复频率、脉冲宽度、时空和/或极性变化,技术原理,占空比、振幅、脉冲重复频率、脉冲宽度、时空和/或极性变化,,,,,,
技术原理:突发间频率,技术原理,突发间频率,,,,,,
技术原理:突发内刺激参数,技术原理,突发内刺激参数,,,,,,
Patent:US20060190056A1,Patent,US20060190056A1,Apparatus and methods for applying neural stimulation to a patient,向患者施加神经刺激的装置和方法,否,2006-03-15,A61N1/18,
技术方法:可植入脉冲发生器,技术方法,可植入脉冲发生器,,,,,,
技术方法:刺激单元,技术方法,刺激单元,,,,,,
技术方法:传感器与患者头部接触,技术方法,传感器与患者头部接触,,,,,,
技术原理:信号极性偏置,技术原理,信号极性偏置,,,,,,
Patent:US7684866B2,Patent,US7684866B2,Apparatus and methods for applying neural stimulation to a patient,向患者施加神经刺激的装置和方法,否,2004-08-02,A61N1/00,
Patent:US20090182391A1,Patent,US20090182391A1,APPARATUS AND METHODS FOR APPLYING NEURAL STIMULATION TO A PATIENT,向患者施加神经刺激的装置和方法,否,2008-12-31,A61N1/36,
技术方法:神经刺激,技术方法,神经刺激,,,,,,
技术方法:信号极性偏置,技术方法,信号极性偏置,,,,,,
技术原理:刺激单元,技术原理,刺激单元,,,,,,
技术原理:第一端子,技术原理,第一端子,,,,,,
技术原理:第二端子,技术原理,第二端子,,,,,,
技术原理:支撑构件,技术原理,支撑构件,,,,,,
技术原理:导电元件,技术原理,导电元件,,,,,,
年份:2008,年份,2008,,,,,,
Patent:WO2006019764A2,Patent,WO2006019764A2,SYSTEMS AND METHODS FOR ENHANCING OR AFFECTING NEURAL STIMULATION EFFICIENCY AND/OR EFFICACY,系统和方法用于增强或影响神经刺激的效率和\/或效力,否,2005-07-15,A61N1/18,
应用场景:神经系统刺激,应用场景,神经系统刺激,,,,,,
技术方法:分时域刺激,技术方法,分时域刺激,,,,,,
技术方法:改变占空周期、振幅、脉冲重复频率、脉冲宽度、时空、极性,技术方法,改变占空周期、振幅、脉冲重复频率、脉冲宽度、时空、极性,,,,,,
技术方法:施加亚阈值、阈值、suprathreshold水平的刺激,技术方法,施加亚阈值、阈值、suprathreshold水平的刺激,,,,,,
技术方法:周期性、非周期性（混沌）、伪随机方式刺激,技术方法,周期性、非周期性（混沌）、伪随机方式刺激,,,,,,
技术方法:改变intraburst刺激参数,技术方法,改变intraburst刺激参数,,,,,,
技术原理:刺激信号提供减少功率消耗与至少足够的症状缓解,技术原理,刺激信号提供减少功率消耗与至少足够的症状缓解,,,,,,
生物信号类型:脑电波频率,生物信号类型,脑电波频率,,,,,,
国家:世界知识产权组织,国家,世界知识产权组织,,,,,,
Patent:US8126562B2,Patent,US8126562B2,Apparatus and methods for applying neural stimulation to a patient,用于向患者施加神经刺激装置和方法,否,2008-12-31,A61N1/00,
技术原理:刺激部位,技术原理,刺激部位,,,,,,
Patent:WO2004066820A2,Patent,WO2004066820A2,SYSTEMS AND METHODS FOR REDUCING THE LIKELIHOOD OF INDUCING COLLATERAL NEURAL ACTIVITY DURING NEURAL STIMULATION THRESHOLD TEST PROCEDURES,系统和方法用于降低所述的诱导络神经活性在神经刺激的可能性阈值测试步骤,否,2004-01-26,A61B,
技术问题:确定神经刺激阈值,技术问题,确定神经刺激阈值,,,,,,
技术方法:测试程序,技术方法,测试程序,,,,,,
技术方法:确定刺激阈值,技术方法,确定刺激阈值,,,,,,
生物信号类型:响应,生物信号类型,响应,,,,,,
Patent:US20050070982A1,Patent,US20050070982A1,"Field steerable electrical stimulation paddle,  lead system,  and medical device incorporating the same",场可操纵的电刺激桨叶，引线系统和包括该桨叶的医疗装置,否,2004-05-14,A61N1/05,
应用场景:医疗装置,应用场景,医疗装置,,,,,,
应用场景:可植入医疗装置,应用场景,可植入医疗装置,,,,,,
技术方法:接收电信号,技术方法,接收电信号,,,,,,
技术方法:刺激身体组织,技术方法,刺激身体组织,,,,,,
核心部件:可植入电极桨叶,核心部件,可植入电极桨叶,,,,,,
核心部件:外壳,核心部件,外壳,,,,,,
核心部件:电极组,核心部件,电极组,,,,,,
核心部件:电极,核心部件,电极,,,,,,
核心部件:导线,核心部件,导线,,,,,,
核心部件:引线组件,核心部件,引线组件,,,,,,
Patent:CN111200967A,Patent,CN111200967A,SYSTEMS AND METHODS FOR MONITORING NEURAL ACTIVITY,用于监测神经活动的系统和方法,否,2018-05-21,A61B5/0484,
技术方法:施加刺激到电极,技术方法,施加刺激到电极,,,,,,
技术方法:在施加所述第一刺激期间至少部分地检测由植入所述大脑中的所述至少一个电极中的一个或多个处的神经元活动引起的在约200Hz与约500Hz之间的高频振荡(HFO),技术方法,在施加所述第一刺激期间至少部分地检测由植入所述大脑中的所述至少一个电极中的一个或多个处的神经元活动引起的在约200Hz与约500Hz之间的高频振荡(HFO),,,,,,
技术方法:确定所述HFO的一个或多个波形特性,技术方法,确定所述HFO的一个或多个波形特性,,,,,,
技术方法:产生刺激,技术方法,产生刺激,,,,,,
核心部件:感测电极,核心部件,感测电极,,,,,,
生物信号类型:高频振荡(HFO),生物信号类型,高频振荡(HFO),,,,,,
技术主题:身体诊断测量 (A61B5),技术主题,身体诊断测量 (A61B5),,,,,,A61B5
国家:中国,国家,中国,,,,,,
年份:2018,年份,2018,,,,,,
Patent:CN111200967B,Patent,CN111200967B,Systems and methods for monitoring neural activity,用于监测神经活动的系统和方法,否,2018-05-21,A61B5/388,
技术方法:产生包括第二多个刺激突发的第二刺激，其中所述第二刺激的一个或多个波形特性取决于所述HFO的一个或多个波形特性,技术方法,产生包括第二多个刺激突发的第二刺激，其中所述第二刺激的一个或多个波形特性取决于所述HFO的一个或多个波形特性,,,,,,
Patent:EP3629913B1,Patent,EP3629913B1,SYSTEM FOR MONITORING NEURAL ACTIVITY,用于监测神经活动的系统,否,2018-05-21,A61B5/00,
技术问题:监测响应于大脑中的刺激的神经活动,技术问题,监测响应于大脑中的刺激的神经活动,,,,,,
应用场景:大脑刺激监测,应用场景,大脑刺激监测,,,,,,
技术方法:递送第二刺激,技术方法,递送第二刺激,,,,,,
技术方法:神经活动检测,技术方法,神经活动检测,,,,,,
技术方法:确定波形特征,技术方法,确定波形特征,,,,,,
技术方法:施加第二刺激,技术方法,施加第二刺激,,,,,,
技术原理:神经元活动产生高频振荡,技术原理,神经元活动产生高频振荡,,,,,,
技术原理:波形特征反馈调节刺激,技术原理,波形特征反馈调节刺激,,,,,,
国家:欧洲专利局,国家,欧洲专利局,,,,,,
Patent:EP3629913C0,Patent,EP3629913C0,SYSTEM FOR MONITORING NEURAL ACTIVITY,用于监测神经活动的系统,否,2018-05-21,A61B5/00,
应用场景:神经活动监测,应用场景,神经活动监测,,,,,,
技术原理:刺激响应机制,技术原理,刺激响应机制,,,,,,
技术原理:高频振荡特征反馈,技术原理,高频振荡特征反馈,,,,,,
Patent:US6873872B2,Patent,US6873872B2,Adaptive electric field modulation of neural systems,神经系统的自适应电场调制,否,2002-10-11,A61N1/00,
技术问题:改变神经活性,技术问题,改变神经活性,,,,,,
技术问题:测试药物、药理学试剂和其它神经元功能调节剂,技术问题,测试药物、药理学试剂和其它神经元功能调节剂,,,,,,
应用场景:癫痫,应用场景,癫痫,,,,,,
应用场景:帕金森病,应用场景,帕金森病,,,,,,
应用场景:感觉（味道或气味）,应用场景,感觉（味道或气味）,,,,,,
应用场景:活动识别,应用场景,活动识别,,,,,,
技术方法:测量神经元活性,技术方法,测量神经元活性,,,,,,
技术方法:施加定向电场,技术方法,施加定向电场,,,,,,
技术原理:电场的大小和极性响应于所测量的神经元活性而改变,技术原理,电场的大小和极性响应于所测量的神经元活性而改变,,,,,,
技术原理:亚阈值电场有效减少脑的异常活动,技术原理,亚阈值电场有效减少脑的异常活动,,,,,,
核心部件:场电极,核心部件,场电极,,,,,,
生物信号类型:神经元活性,生物信号类型,神经元活性,,,,,,
Patent:US7499748B2,Patent,US7499748B2,Transvascular neural stimulation device,经血管神经刺激装置,否,2005-04-11,A61N1/36,
技术方法:经血管刺激神经干,技术方法,经血管刺激神经干,,,,,,
技术方法:传递电刺激信号,技术方法,传递电刺激信号,,,,,,
技术原理:通过引线将电刺激信号传递到电极,技术原理,通过引线将电刺激信号传递到电极,,,,,,
技术原理:将神经刺激从电极经血管递送至神经干,技术原理,将神经刺激从电极经血管递送至神经干,,,,,,
核心部件:可扩张电极,核心部件,可扩张电极,,,,,,
Patent:US20090018609A1,Patent,US20090018609A1,Closed-Loop Feedback-Driven Neuromodulation,闭环反馈驱动神经调节,否,2008-07-21,A61N1/36,
技术问题:调节神经系统组件的活性,技术问题,调节神经系统组件的活性,,,,,,
技术问题:根据治疗参数产生神经调节信号,技术问题,根据治疗参数产生神经调节信号,,,,,,
技术问题:从对先前递送的神经调制信号的神经响应中导出治疗参数,技术问题,从对先前递送的神经调制信号的神经响应中导出治疗参数,,,,,,
应用场景:神经系统部件调节,应用场景,神经系统部件调节,,,,,,
应用场景:颅内(IC)刺激,应用场景,颅内(IC)刺激,,,,,,
应用场景:精神疾病,应用场景,精神疾病,,,,,,
技术方法:闭环控制,技术方法,闭环控制,,,,,,
技术方法:神经控制系统,技术方法,神经控制系统,,,,,,
技术方法:神经响应确定,技术方法,神经响应确定,,,,,,
技术方法:治疗参数产生,技术方法,治疗参数产生,,,,,,
技术原理:闭环反馈驱动,技术原理,闭环反馈驱动,,,,,,
技术原理:神经响应导出,技术原理,神经响应导出,,,,,,
技术原理:治疗参数产生,技术原理,治疗参数产生,,,,,,
核心部件:脑机接口,核心部件,脑机接口,,,,,,
核心部件:神经调节器,核心部件,神经调节器,,,,,,
核心部件:颅内(IC)刺激电极,核心部件,颅内(IC)刺激电极,,,,,,
核心部件:致动器,核心部件,致动器,,,,,,
核心部件:传感器,核心部件,传感器,,,,,,
生物信号类型:神经调制信号,生物信号类型,神经调制信号,,,,,,
生物信号类型:神经响应,生物信号类型,神经响应,,,,,,
Patent:US20180085586A1,Patent,US20180085586A1,ADAPTIVE DEEP BRAIN STIMULATION USING FREQUENCY SUB-BANDS,使用频率子带的自适应深部脑刺激,否,2017-09-25,A61N1/36,
技术问题:如何基于患者感测信号自适应调节电刺激治疗参数,技术问题,如何基于患者感测信号自适应调节电刺激治疗参数,,,,,,
应用场景:深部脑刺激,应用场景,深部脑刺激,,,,,,
应用场景:神经调节治疗,应用场景,神经调节治疗,,,,,,
技术方法:选择感测信号,技术方法,选择感测信号,,,,,,
技术方法:调整电刺激治疗参数,技术方法,调整电刺激治疗参数,,,,,,
技术原理:自适应控制,技术原理,自适应控制,,,,,,
技术原理:信号响应反馈,技术原理,信号响应反馈,,,,,,
核心部件:医疗系统,核心部件,医疗系统,,,,,,
生物信号类型:第一感测信号,生物信号类型,第一感测信号,,,,,,
生物信号类型:第二感测信号,生物信号类型,第二感测信号,,,,,,
年份:2017,年份,2017,,,,,,
Patent:WO2012088482A1,Patent,WO2012088482A1,NEUROSTIMULATION SYSTEM FOR ESTIMATING DESIRED STIMULATION AMPLITUDE FOR ELECTRODE CONFIGURATION,神经刺激系统用于需要刺激幅度估计用于电极的配置,否,2011-12-22,A61N1/36,
技术问题:需要刺激幅度估计用于电极的配置,技术问题,需要刺激幅度估计用于电极的配置,,,,,,
技术方法:选择电极配置,技术方法,选择电极配置,,,,,,
技术方法:度量值比较,技术方法,度量值比较,,,,,,
技术方法:调节电流,技术方法,调节电流,,,,,,
技术方法:重复步骤,技术方法,重复步骤,,,,,,
技术方法:输送电能量,技术方法,输送电能量,,,,,,
技术原理:神经反应诱导预测,技术原理,神经反应诱导预测,,,,,,
技术原理:度量值与参考阈值比较,技术原理,度量值与参考阈值比较,,,,,,
核心部件:用户输入装置,核心部件,用户输入装置,,,,,,
核心部件:处理电路,核心部件,处理电路,,,,,,
核心部件:神经刺激装置,核心部件,神经刺激装置,,,,,,
生物信号类型:神经反应,生物信号类型,神经反应,,,,,,
Patent:US20070179557A1,Patent,US20070179557A1,Controlling neuromodulation using stimulus modalities,使用刺激模式控制神经调节,否,2006-01-27,A61N1/00,
技术问题:影响神经调节,技术问题,影响神经调节,,,,,,
应用场景:治疗疾病,应用场景,治疗疾病,,,,,,
技术方法:施加内部和/或外部诱发和/或治疗信号,技术方法,施加内部和/或外部诱发和/或治疗信号,,,,,,
技术方法:接收与生理响应有关的数据,技术方法,接收与生理响应有关的数据,,,,,,
技术方法:确定神经传递特性,技术方法,确定神经传递特性,,,,,,
技术方法:控制电疗信号的参数,技术方法,控制电疗信号的参数,,,,,,
技术原理:基于诱发信号产生的生理响应确定神经传递特性,技术原理,基于诱发信号产生的生理响应确定神经传递特性,,,,,,
技术原理:基于神经传输特性控制电疗信号,技术原理,基于神经传输特性控制电疗信号,,,,,,
核心部件:可植入医疗装置,核心部件,可植入医疗装置,,,,,,
生物信号类型:生理响应,生物信号类型,生理响应,,,,,,
Patent:US20210196948A1,Patent,US20210196948A1,ADAPTIVE DEEP BRAIN STIMULATION USING FREQUENCY SUB-BANDS,使用频率子带的自适应深部脑刺激,否,2021-03-11,A61N1/05,
技术问题:向患者递送电刺激治疗,技术问题,向患者递送电刺激治疗,,,,,,
应用场景:医疗系统,应用场景,医疗系统,,,,,,
技术方法:确定第一感测信号对电刺激治疗的第一响应以及第二感测信号对电刺激治疗的第二响应,技术方法,确定第一感测信号对电刺激治疗的第一响应以及第二感测信号对电刺激治疗的第二响应,,,,,,
技术方法:基于第一响应和第二响应，选择第一感测信号和第二感测信号之一,技术方法,基于第一响应和第二响应，选择第一感测信号和第二感测信号之一,,,,,,
技术原理:基于响应选择信号并调整参数,技术原理,基于响应选择信号并调整参数,,,,,,
年份:2021,年份,2021,,,,,,
