source,relation,target,patent_pub
Patent:US20050070971A1,包括,核心部件:导电元件,US20050070971A1
Patent:US20050070971A1,包括,核心部件:电极阵列,US20050070971A1
Patent:US20050070971A1,属于,技术主题:电疗器械 (A61N1),US20050070971A1
Patent:US20050070971A1,公开国家,国家:美国,US20050070971A1
Patent:US20050070971A1,公开年,年份:2004,US20050070971A1
Patent:US20050021118A1,采用,技术方法:施加电刺激,US20050021118A1
Patent:US20050021118A1,采用,技术方法:第一电位偏压,US20050021118A1
Patent:US20050021118A1,采用,技术方法:第二电位偏压,US20050021118A1
Patent:US20050021118A1,采用,技术方法:产生电场,US20050021118A1
Patent:US20050021118A1,基于,技术原理:电场刺激,US20050021118A1
Patent:US20050021118A1,基于,技术原理:电位偏压,US20050021118A1
Patent:US20050021118A1,包括,核心部件:电极组件,US20050021118A1
Patent:US20050021118A1,包括,核心部件:电极阵列,US20050021118A1
Patent:US20050021118A1,包括,核心部件:柔性外壳,US20050021118A1
Patent:US20050021118A1,包括,核心部件:引线,US20050021118A1
Patent:US20050021118A1,包括,核心部件:导体,US20050021118A1
Patent:US20050021118A1,包括,核心部件:接口,US20050021118A1
Patent:US20050021118A1,包括,核心部件:可植入脉冲发生器,US20050021118A1
Patent:US20050021118A1,包括,核心部件:刺激单元,US20050021118A1
Patent:US20050021118A1,属于,技术主题:电疗器械 (A61N1),US20050021118A1
Patent:US20050021118A1,公开国家,国家:美国,US20050021118A1
Patent:US20050021118A1,公开年,年份:2004,US20050021118A1
Patent:US20050021105A1,解决,技术问题:实现患者神经功能改变,US20050021105A1
Patent:US20050021105A1,解决,技术问题:增强或诱导神经活性的持久改变,US20050021105A1
Patent:US20050021105A1,解决,技术问题:治疗脑损伤、脑疾病和脑障碍,US20050021105A1
Patent:US20050021105A1,解决,技术问题:增强神经功能,US20050021105A1
Patent:US20050021105A1,解决,技术问题:控制感觉功能,US20050021105A1
Patent:US20050021105A1,应用于,应用场景:脑深部刺激,US20050021105A1
Patent:US20050021105A1,应用于,应用场景:治疗,US20050021105A1
Patent:US20050021105A1,应用于,应用场景:脑疾病治疗,US20050021105A1
Patent:US20050021105A1,应用于,应用场景:神经治疗,US20050021105A1
Patent:US20050021105A1,应用于,应用场景:增强正常健康大脑的神经功能,US20050021105A1
Patent:US20050021105A1,采用,技术方法:对脑进行电刺激,US20050021105A1
Patent:US20050021105A1,采用,技术方法:识别神经可塑性存在的位置,US20050021105A1
Patent:US20050021105A1,采用,技术方法:电信号递送,US20050021105A1
Patent:US20050021105A1,采用,技术方法:将刺激部位神经元的静止膜电位增加到亚阈值水平,US20050021105A1
Patent:US20050021105A1,采用,技术方法:诱导神经可塑性,US20050021105A1
Patent:US20050021105A1,基于,技术原理:神经可塑性,US20050021105A1
Patent:US20050021105A1,基于,技术原理:静止膜电位增加到亚阈值水平,US20050021105A1
Patent:US20050021105A1,包括,核心部件:电脉冲,US20050021105A1
Patent:US20050021105A1,包括,核心部件:刺激部位,US20050021105A1
Patent:US20050021105A1,包括,核心部件:脑,US20050021105A1
Patent:US20050021105A1,属于,技术主题:电疗器械 (A61N1),US20050021105A1
Patent:US20050021105A1,公开国家,国家:美国,US20050021105A1
Patent:US20050021105A1,公开年,年份:2004,US20050021105A1
Patent:US7024247B2,解决,技术问题:降低癫痫发作可能性,US7024247B2
Patent:US7024247B2,应用于,应用场景:长期监测和/或刺激,US7024247B2
Patent:US7024247B2,采用,技术方法:施加测试刺激信号,US7024247B2
Patent:US7024247B2,采用,技术方法:生成第二刺激,US7024247B2
Patent:US7024247B2,采用,技术方法:确定神经刺激阈值,US7024247B2
Patent:US7024247B2,采用,技术方法:确定神经刺激阈值,US7024247B2
Patent:US7024247B2,属于,技术主题:电疗器械 (A61N1),US7024247B2
Patent:US7024247B2,公开国家,国家:美国,US7024247B2
Patent:US7024247B2,公开年,年份:2003,US7024247B2
Patent:US20030130706A1,解决,技术问题:增强神经功能,US20030130706A1
Patent:US20030130706A1,解决,技术问题:治疗脑损伤,US20030130706A1
Patent:US20030130706A1,解决,技术问题:治疗脑疾病,US20030130706A1
Patent:US20030130706A1,解决,技术问题:治疗脑疾病,US20030130706A1
Patent:US20030130706A1,解决,技术问题:增强神经功能,US20030130706A1
Patent:US20030130706A1,解决,技术问题:控制感觉功能,US20030130706A1
Patent:US20030130706A1,应用于,应用场景:脑损伤治疗,US20030130706A1
Patent:US20030130706A1,应用于,应用场景:脑疾病治疗,US20030130706A1
Patent:US20030130706A1,应用于,应用场景:脑疾病治疗,US20030130706A1
Patent:US20030130706A1,应用于,应用场景:认知增强,US20030130706A1
Patent:US20030130706A1,应用于,应用场景:疼痛控制,US20030130706A1
Patent:US20030130706A1,采用,技术方法:颅内电刺激,US20030130706A1
Patent:US20030130706A1,采用,技术方法:识别神经可塑性存在的位置,US20030130706A1
Patent:US20030130706A1,采用,技术方法:诱导神经可塑性,US20030130706A1
Patent:US20030130706A1,采用,技术方法:将刺激部位神经元的静止膜电位增加到亚阈值水平,US20030130706A1
Patent:US20030130706A1,基于,技术原理:神经可塑性,US20030130706A1
Patent:US20030130706A1,基于,技术原理:脑的功能组织,US20030130706A1
Patent:US20030130706A1,属于,技术主题:电疗器械 (A61N1),US20030130706A1
Patent:US20030130706A1,公开国家,国家:美国,US20030130706A1
Patent:US20030130706A1,公开年,年份:2002,US20030130706A1
Patent:US20030074032A1,解决,技术问题:响应侧枝神经活动,US20030074032A1
Patent:US20030074032A1,解决,技术问题:影响连续存在的神经病症,US20030074032A1
Patent:US20030074032A1,应用于,应用场景:康复,US20030074032A1
Patent:US20030074032A1,应用于,应用场景:恢复,US20030074032A1
Patent:US20030074032A1,应用于,应用场景:增强一种或多种神经功能,US20030074032A1
Patent:US20030074032A1,采用,技术方法:促进神经可塑性改变,US20030074032A1
Patent:US20030074032A1,采用,技术方法:侧枝神经活动检测,US20030074032A1
Patent:US20030074032A1,采用,技术方法:侧枝神经活动检测,US20030074032A1
Patent:US20030074032A1,基于,技术原理:响应侧支神经活动,US20030074032A1
Patent:US20030074032A1,基于,技术原理:感测单元确定是否存在侧枝神经活动的证据,US20030074032A1
Patent:US20030074032A1,包括,核心部件:刺激呈现系统,US20030074032A1
Patent:US20030074032A1,包括,核心部件:监控装置,US20030074032A1
Patent:US20030074032A1,包括,核心部件:刺激单元,US20030074032A1
Patent:US20030074032A1,包括,核心部件:感测装置,US20030074032A1
Patent:US20030074032A1,包括,核心部件:监控装置,US20030074032A1
技术方法:侧枝神经活动检测,处理,生物信号类型:神经活动,US20030074032A1
技术方法:侧枝神经活动检测,处理,生物信号类型:神经活动,US20030074032A1
Patent:US20030074032A1,属于,技术主题:电疗器械 (A61N1),US20030074032A1
Patent:US20030074032A1,公开国家,国家:美国,US20030074032A1
Patent:US20030074032A1,公开年,年份:2002,US20030074032A1
Patent:US20030088274A1,解决,技术问题:改善植入神经系统中的细胞的功能性,US20030088274A1
Patent:US20030088274A1,解决,技术问题:促进完全分化神经细胞的定向生长和连通性,US20030088274A1
Patent:US20030088274A1,解决,技术问题:治疗脑损伤,US20030088274A1
Patent:US20030088274A1,解决,技术问题:治疗脑疾病,US20030088274A1
Patent:US20030088274A1,解决,技术问题:治疗脑疾病,US20030088274A1
Patent:US20030088274A1,解决,技术问题:增强神经功能,US20030088274A1
Patent:US20030088274A1,解决,技术问题:控制感觉功能,US20030088274A1
Patent:US20030088274A1,应用于,应用场景:神经系统,US20030088274A1
Patent:US20030088274A1,应用于,应用场景:脑,US20030088274A1
Patent:US20030088274A1,应用于,应用场景:脊髓,US20030088274A1
Patent:US20030088274A1,应用于,应用场景:外周神经,US20030088274A1
Patent:US20030088274A1,应用于,应用场景:脑损伤治疗,US20030088274A1
Patent:US20030088274A1,应用于,应用场景:脑疾病治疗,US20030088274A1
Patent:US20030088274A1,应用于,应用场景:脑疾病治疗,US20030088274A1
Patent:US20030088274A1,应用于,应用场景:增强正常健康大脑的神经功能,US20030088274A1
Patent:US20030088274A1,应用于,应用场景:感觉功能控制,US20030088274A1
Patent:US20030088274A1,采用,技术方法:细胞分化,US20030088274A1
Patent:US20030088274A1,采用,技术方法:电增强,US20030088274A1
Patent:US20030088274A1,采用,技术方法:阳极和阴极的电刺激,US20030088274A1
Patent:US20030088274A1,基于,技术原理:电刺激促进细胞分化,US20030088274A1
Patent:US20030088274A1,基于,技术原理:电刺激促进神经细胞定向生长和连通性,US20030088274A1
Patent:US20030088274A1,包括,核心部件:阳极,US20030088274A1
Patent:US20030088274A1,包括,核心部件:阴极,US20030088274A1
技术方法:细胞分化,处理,生物信号类型:动作电位,US20030088274A1
技术方法:阳极和阴极的电刺激,处理,生物信号类型:动作电位,US20030088274A1
Patent:US20030088274A1,属于,技术主题:电疗器械 (A61N1),US20030088274A1
Patent:US20030088274A1,公开国家,国家:美国,US20030088274A1
Patent:US20030088274A1,公开年,年份:2002,US20030088274A1
Patent:US7146217B2,解决,技术问题:实现患者神经功能改变,US7146217B2
Patent:US7146217B2,解决,技术问题:增强或诱导神经活性持久改变,US7146217B2
Patent:US7146217B2,解决,技术问题:治疗脑损伤、脑疾病和/或脑障碍,US7146217B2
Patent:US7146217B2,解决,技术问题:增强神经功能,US7146217B2
Patent:US7146217B2,解决,技术问题:控制感觉功能,US7146217B2
Patent:US7146217B2,应用于,应用场景:脑深部刺激,US7146217B2
Patent:US7146217B2,应用于,应用场景:治疗,US7146217B2
Patent:US7146217B2,应用于,应用场景:脑疾病治疗,US7146217B2
Patent:US7146217B2,应用于,应用场景:神经治疗,US7146217B2
Patent:US7146217B2,应用于,应用场景:增强正常健康大脑的神经功能,US7146217B2
Patent:US7146217B2,采用,技术方法:对脑进行电刺激,US7146217B2
Patent:US7146217B2,采用,技术方法:识别神经可塑性存在的位置,US7146217B2
Patent:US7146217B2,采用,技术方法:电信号递送,US7146217B2
Patent:US7146217B2,采用,技术方法:将刺激部位神经元的静止膜电位增加到亚阈值水平,US7146217B2
Patent:US7146217B2,采用,技术方法:使用电脉冲,US7146217B2
Patent:US7146217B2,基于,技术原理:神经可塑性,US7146217B2
Patent:US7146217B2,基于,技术原理:刺激部位神经元的静止膜电位增加到亚阈值水平,US7146217B2
Patent:US7146217B2,包括,核心部件:电刺激,US7146217B2
Patent:US7146217B2,包括,核心部件:电脉冲,US7146217B2
Patent:US7146217B2,属于,技术主题:电疗器械 (A61N1),US7146217B2
Patent:US7146217B2,公开国家,国家:美国,US7146217B2
Patent:US7146217B2,公开年,年份:2002,US7146217B2
Patent:US20080161879A1,解决,技术问题:增强神经功能,US20080161879A1
Patent:US20080161879A1,解决,技术问题:治疗脑损伤,US20080161879A1
Patent:US20080161879A1,解决,技术问题:治疗脑疾病,US20080161879A1
Patent:US20080161879A1,解决,技术问题:治疗脑疾病,US20080161879A1
Patent:US20080161879A1,解决,技术问题:增强神经功能,US20080161879A1
Patent:US20080161879A1,解决,技术问题:控制感觉功能,US20080161879A1
Patent:US20080161879A1,应用于,应用场景:脑损伤治疗,US20080161879A1
Patent:US20080161879A1,应用于,应用场景:脑疾病治疗,US20080161879A1
Patent:US20080161879A1,应用于,应用场景:脑疾病治疗,US20080161879A1
Patent:US20080161879A1,应用于,应用场景:增强正常健康大脑的神经功能,US20080161879A1
Patent:US20080161879A1,应用于,应用场景:疼痛控制,US20080161879A1
Patent:US20080161879A1,采用,技术方法:颅内电刺激,US20080161879A1
Patent:US20080161879A1,采用,技术方法:电脉冲刺激,US20080161879A1
Patent:US20080161879A1,采用,技术方法:识别神经可塑性存在的位置,US20080161879A1
Patent:US20080161879A1,采用,技术方法:诱导神经可塑性,US20080161879A1
Patent:US20080161879A1,基于,技术原理:神经可塑性,US20080161879A1
Patent:US20080161879A1,基于,技术原理:亚阈值刺激,US20080161879A1
技术方法:颅内电刺激,处理,生物信号类型:神经活动,US20080161879A1
技术方法:电脉冲刺激,处理,生物信号类型:神经活动,US20080161879A1
Patent:US20080161879A1,属于,技术主题:内窥镜检查 (A61B1),US20080161879A1
Patent:US20080161879A1,公开国家,国家:美国,US20080161879A1
Patent:US20080161879A1,公开年,年份:2007,US20080161879A1
Patent:US20080161880A1,解决,技术问题:增强神经功能,US20080161880A1
Patent:US20080161880A1,解决,技术问题:治疗脑损伤,US20080161880A1
Patent:US20080161880A1,解决,技术问题:治疗脑疾病,US20080161880A1
Patent:US20080161880A1,解决,技术问题:治疗脑疾病,US20080161880A1
Patent:US20080161880A1,解决,技术问题:增强神经功能,US20080161880A1
Patent:US20080161880A1,解决,技术问题:控制感觉功能,US20080161880A1
Patent:US20080161880A1,应用于,应用场景:脑深部刺激,US20080161880A1
Patent:US20080161880A1,应用于,应用场景:脑损伤治疗,US20080161880A1
Patent:US20080161880A1,应用于,应用场景:脑疾病治疗,US20080161880A1
Patent:US20080161880A1,应用于,应用场景:脑疾病治疗,US20080161880A1
Patent:US20080161880A1,应用于,应用场景:增强正常健康大脑的神经功能,US20080161880A1
Patent:US20080161880A1,应用于,应用场景:疼痛控制,US20080161880A1
Patent:US20080161880A1,采用,技术方法:颅内电刺激,US20080161880A1
Patent:US20080161880A1,采用,技术方法:识别神经可塑性存在的位置,US20080161880A1
Patent:US20080161880A1,采用,技术方法:诱导神经可塑性,US20080161880A1
Patent:US20080161880A1,采用,技术方法:将刺激部位神经元的静止膜电位增加到亚阈值水平,US20080161880A1
Patent:US20080161880A1,基于,技术原理:神经可塑性,US20080161880A1
Patent:US20080161880A1,基于,技术原理:脑的功能组织,US20080161880A1
Patent:US20080161880A1,基于,技术原理:亚阈值刺激,US20080161880A1
技术方法:颅内电刺激,处理,生物信号类型:神经活动,US20080161880A1
技术方法:识别神经可塑性存在的位置,处理,生物信号类型:神经活动,US20080161880A1
技术方法:诱导神经可塑性,处理,生物信号类型:神经活动,US20080161880A1
技术方法:将刺激部位神经元的静止膜电位增加到亚阈值水平,处理,生物信号类型:神经活动,US20080161880A1
Patent:US20080161880A1,属于,技术主题:电疗器械 (A61N1),US20080161880A1
Patent:US20080161880A1,公开国家,国家:美国,US20080161880A1
Patent:US20080161880A1,公开年,年份:2007,US20080161880A1
Patent:US20080161881A1,解决,技术问题:增强神经功能,US20080161881A1
Patent:US20080161881A1,解决,技术问题:增强或诱导神经活性的持久改变,US20080161881A1
Patent:US20080161881A1,解决,技术问题:治疗脑损伤、脑疾病和脑障碍,US20080161881A1
Patent:US20080161881A1,解决,技术问题:增强神经功能,US20080161881A1
Patent:US20080161881A1,解决,技术问题:控制感觉功能,US20080161881A1
Patent:US20080161881A1,应用于,应用场景:脑深部刺激,US20080161881A1
Patent:US20080161881A1,应用于,应用场景:治疗,US20080161881A1
Patent:US20080161881A1,应用于,应用场景:脑疾病治疗,US20080161881A1
Patent:US20080161881A1,应用于,应用场景:神经治疗,US20080161881A1
Patent:US20080161881A1,应用于,应用场景:增强正常健康大脑的神经功能,US20080161881A1
Patent:US20080161881A1,采用,技术方法:对脑进行电刺激,US20080161881A1
Patent:US20080161881A1,采用,技术方法:识别神经可塑性存在的位置,US20080161881A1
Patent:US20080161881A1,采用,技术方法:诱导神经可塑性,US20080161881A1
Patent:US20080161881A1,采用,技术方法:使用电脉冲,US20080161881A1
Patent:US20080161881A1,基于,技术原理:神经可塑性,US20080161881A1
Patent:US20080161881A1,基于,技术原理:刺激部位神经元的静止膜电位增加到亚阈值水平,US20080161881A1
Patent:US20080161881A1,包括,核心部件:电刺激装置,US20080161881A1
Patent:US20080161881A1,包括,核心部件:刺激部位,US20080161881A1
Patent:US20080161881A1,包括,核心部件:电脉冲,US20080161881A1
Patent:US20080161881A1,属于,技术主题:电疗器械 (A61N1),US20080161881A1
Patent:US20080161881A1,公开国家,国家:美国,US20080161881A1
Patent:US20080161881A1,公开年,年份:2007,US20080161881A1
Patent:US7010351B2,解决,技术问题:增强神经功能,US7010351B2
Patent:US7010351B2,解决,技术问题:治疗脑损伤,US7010351B2
Patent:US7010351B2,解决,技术问题:治疗脑疾病,US7010351B2
Patent:US7010351B2,解决,技术问题:治疗脑疾病,US7010351B2
Patent:US7010351B2,解决,技术问题:增强神经功能,US7010351B2
Patent:US7010351B2,解决,技术问题:控制感觉功能,US7010351B2
Patent:US7010351B2,应用于,应用场景:脑深部刺激,US7010351B2
Patent:US7010351B2,应用于,应用场景:脑损伤治疗,US7010351B2
Patent:US7010351B2,应用于,应用场景:脑疾病治疗,US7010351B2
Patent:US7010351B2,应用于,应用场景:脑疾病治疗,US7010351B2
Patent:US7010351B2,应用于,应用场景:认知增强,US7010351B2
Patent:US7010351B2,应用于,应用场景:疼痛控制,US7010351B2
Patent:US7010351B2,采用,技术方法:颅内电刺激,US7010351B2
Patent:US7010351B2,采用,技术方法:识别神经可塑性存在的位置,US7010351B2
Patent:US7010351B2,采用,技术方法:诱导神经可塑性,US7010351B2
Patent:US7010351B2,采用,技术方法:将刺激部位神经元的静止膜电位增加到亚阈值水平,US7010351B2
Patent:US7010351B2,基于,技术原理:神经可塑性,US7010351B2
Patent:US7010351B2,基于,技术原理:脑的功能组织,US7010351B2
Patent:US7010351B2,基于,技术原理:亚阈值刺激,US7010351B2
Patent:US7010351B2,包括,核心部件:刺激部位电极,US7010351B2
Patent:US7010351B2,属于,技术主题:电疗器械 (A61N1),US7010351B2
Patent:US7010351B2,公开国家,国家:美国,US7010351B2
Patent:US7010351B2,公开年,年份:2001,US7010351B2
Patent:US20120041498A1,解决,技术问题:神经刺激效率和/或功效,US20120041498A1
Patent:US20120041498A1,解决,技术问题:减少功率消耗,US20120041498A1
Patent:US20120041498A1,解决,技术问题:症状缓解,US20120041498A1
Patent:US20120041498A1,应用于,应用场景:神经系统,US20120041498A1
Patent:US20120041498A1,应用于,应用场景:患者,US20120041498A1
Patent:US20120041498A1,采用,技术方法:施加电磁刺激,US20120041498A1
Patent:US20120041498A1,采用,技术方法:施加电磁刺激,US20120041498A1
Patent:US20120041498A1,采用,技术方法:施加刺激信号,US20120041498A1
Patent:US20120041498A1,采用,技术方法:调整刺激参数,US20120041498A1
Patent:US20120041498A1,采用,技术方法:周期性刺激施加,US20120041498A1
Patent:US20120041498A1,基于,技术原理:电磁刺激,US20120041498A1
Patent:US20120041498A1,基于,技术原理:突发模式,US20120041498A1
Patent:US20120041498A1,基于,技术原理:降低的功耗,US20120041498A1
Patent:US20120041498A1,基于,技术原理:亚阈值、阈值和/或超阈值水平刺激,US20120041498A1
Patent:US20120041498A1,包括,核心部件:系统,US20120041498A1
Patent:US20120041498A1,包括,核心部件:方法,US20120041498A1
技术方法:施加电磁刺激,处理,生物信号类型:脑振荡,US20120041498A1
技术方法:施加电磁刺激,处理,生物信号类型:脑振荡,US20120041498A1
Patent:US20120041498A1,属于,技术主题:电疗器械 (A61N1),US20120041498A1
Patent:US20120041498A1,公开国家,国家:美国,US20120041498A1
Patent:US20120041498A1,公开年,年份:2011,US20120041498A1
Patent:US20040019370A1,解决,技术问题:降低癫痫发作可能性,US20040019370A1
Patent:US20040019370A1,应用于,应用场景:长期监测和/或刺激,US20040019370A1
Patent:US20040019370A1,采用,技术方法:施加测试刺激信号,US20040019370A1
Patent:US20040019370A1,采用,技术方法:监测患者响应,US20040019370A1
Patent:US20040019370A1,采用,技术方法:确定神经刺激阈值,US20040019370A1
Patent:US20040019370A1,采用,技术方法:确定神经刺激阈值,US20040019370A1
Patent:US20040019370A1,基于,技术原理:神经刺激阈值,US20040019370A1
Patent:US20040019370A1,基于,技术原理:第二神经刺激阈值,US20040019370A1
Patent:US20040019370A1,属于,技术主题:电疗器械 (A61N1),US20040019370A1
Patent:US20040019370A1,公开国家,国家:美国,US20040019370A1
Patent:US20040019370A1,公开年,年份:2003,US20040019370A1
Patent:US20070043392A1,解决,技术问题:降低癫痫发作可能性,US20070043392A1
Patent:US20070043392A1,应用于,应用场景:长期监测和/或刺激,US20070043392A1
Patent:US20070043392A1,采用,技术方法:施加测试刺激信号,US20070043392A1
Patent:US20070043392A1,采用,技术方法:生成第二刺激,US20070043392A1
Patent:US20070043392A1,采用,技术方法:确定神经刺激阈值,US20070043392A1
Patent:US20070043392A1,采用,技术方法:确定神经刺激阈值,US20070043392A1
Patent:US20070043392A1,基于,技术原理:神经刺激阈值,US20070043392A1
Patent:US20070043392A1,基于,技术原理:第二神经刺激阈值,US20070043392A1
Patent:US20070043392A1,属于,技术主题:电疗器械 (A61N1),US20070043392A1
Patent:US20070043392A1,公开国家,国家:美国,US20070043392A1
Patent:US20070043392A1,公开年,年份:2006,US20070043392A1
Patent:US7620456B2,解决,技术问题:降低癫痫发作可能性,US7620456B2
Patent:US7620456B2,应用于,应用场景:长期监测和/或刺激,US7620456B2
Patent:US7620456B2,采用,技术方法:确定神经刺激阈值,US7620456B2
Patent:US7620456B2,采用,技术方法:确定神经刺激阈值,US7620456B2
Patent:US7620456B2,采用,技术方法:生成第二刺激,US7620456B2
Patent:US7620456B2,采用,技术方法:施加测试刺激信号,US7620456B2
Patent:US7620456B2,属于,技术主题:电疗器械 (A61N1),US7620456B2
Patent:US7620456B2,公开国家,国家:美国,US7620456B2
Patent:US7620456B2,公开年,年份:2006,US7620456B2
Patent:US20060200206A1,解决,技术问题:增强神经功能,US20060200206A1
Patent:US20060200206A1,解决,技术问题:治疗脑损伤,US20060200206A1
Patent:US20060200206A1,解决,技术问题:治疗脑疾病,US20060200206A1
Patent:US20060200206A1,解决,技术问题:治疗脑疾病,US20060200206A1
Patent:US20060200206A1,解决,技术问题:增强神经功能,US20060200206A1
Patent:US20060200206A1,解决,技术问题:控制感觉功能,US20060200206A1
Patent:US20060200206A1,应用于,应用场景:脑深部刺激,US20060200206A1
Patent:US20060200206A1,应用于,应用场景:脑损伤治疗,US20060200206A1
Patent:US20060200206A1,应用于,应用场景:脑疾病治疗,US20060200206A1
Patent:US20060200206A1,应用于,应用场景:脑疾病治疗,US20060200206A1
Patent:US20060200206A1,应用于,应用场景:认知增强,US20060200206A1
Patent:US20060200206A1,应用于,应用场景:疼痛控制,US20060200206A1
Patent:US20060200206A1,采用,技术方法:颅内电刺激,US20060200206A1
Patent:US20060200206A1,采用,技术方法:电脉冲刺激,US20060200206A1
Patent:US20060200206A1,采用,技术方法:识别神经可塑性位置,US20060200206A1
Patent:US20060200206A1,采用,技术方法:诱导神经可塑性,US20060200206A1
Patent:US20060200206A1,基于,技术原理:神经可塑性,US20060200206A1
Patent:US20060200206A1,基于,技术原理:刺激部位神经元的静止膜电位增加到亚阈值水平,US20060200206A1
Patent:US20060200206A1,属于,技术主题:电疗器械 (A61N1),US20060200206A1
Patent:US20060200206A1,公开国家,国家:美国,US20060200206A1
Patent:US20060200206A1,公开年,年份:2006,US20060200206A1
Patent:US7483747B2,解决,技术问题:神经刺激功效,US7483747B2
Patent:US7483747B2,解决,技术问题:降低功耗,US7483747B2
Patent:US7483747B2,解决,技术问题:提供充分的症状缓解,US7483747B2
Patent:US7483747B2,应用于,应用场景:神经系统,US7483747B2
Patent:US7483747B2,应用于,应用场景:患者,US7483747B2
Patent:US7483747B2,采用,技术方法:施加电磁刺激,US7483747B2
Patent:US7483747B2,采用,技术方法:采用周期性的、非周期性的(例如，混沌的)和/或伪随机的方式施加刺激,US7483747B2
Patent:US7483747B2,采用,技术方法:施加电磁刺激,US7483747B2
Patent:US7483747B2,采用,技术方法:施加刺激信号,US7483747B2
Patent:US7483747B2,基于,技术原理:电磁刺激,US7483747B2
Patent:US7483747B2,基于,技术原理:占空比、振幅、脉冲重复频率、脉冲宽度、时空和/或极性变化,US7483747B2
Patent:US7483747B2,基于,技术原理:突发间频率,US7483747B2
Patent:US7483747B2,基于,技术原理:突发内刺激参数,US7483747B2
Patent:US7483747B2,包括,核心部件:系统,US7483747B2
Patent:US7483747B2,包括,核心部件:方法,US7483747B2
技术方法:施加电磁刺激,处理,生物信号类型:脑振荡,US7483747B2
技术方法:施加电磁刺激,处理,生物信号类型:脑振荡,US7483747B2
Patent:US7483747B2,属于,技术主题:电疗器械 (A61N1),US7483747B2
Patent:US7483747B2,公开国家,国家:美国,US7483747B2
Patent:US7483747B2,公开年,年份:2005,US7483747B2
Patent:US20060190056A1,采用,技术方法:可植入脉冲发生器,US20060190056A1
Patent:US20060190056A1,采用,技术方法:刺激单元,US20060190056A1
Patent:US20060190056A1,采用,技术方法:传感器与患者头部接触,US20060190056A1
Patent:US20060190056A1,采用,技术方法:刺激单元,US20060190056A1
Patent:US20060190056A1,采用,技术方法:刺激单元,US20060190056A1
